
# The Grey NATO – 250 – Film Club Vol. 10
Published on Thu, 24 Aug 2023 06:00:00 -0400



## Synopsis
The podcast discusses the 250th episode of The Graynado, a show about travel, diving, driving gear, and watches. For this special Film Club Volume 10 episode, Jason and his co-host share their top 5 movie picks from different genres and time periods, including Ronin (1998), The Talented Mr. Ripley (1999), Snatch (2000), To Catch a Thief (1955), The Silence of the Lambs (1991), The Departed (2006), Charade (1963), Play Misty for Me (1971), The Killing Fields (1984), and Annihilation (2018). They provide detailed synopses, discuss the films' merits, and share personal connections to some of the movies.

## Links
- [episode page](https://thegreynato.substack.com/p/filmclub10)
- [episode MP3](https://www.buzzsprout.com/2049759/13457876-the-grey-nato-250-film-club-vol-10.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|Co-host|I've not, no. Um, big Jessica Walter fan though, obviously, uh, Lucille Bluth forever.  um you know r.i.p to uh to miss walter but i've not seen this uh i know my dad's referenced it in the past it's also fascinating because he directed this and it came out the same year as dirty harry it was a big year for him yeah seriously which i think i want to say he co-directed dirty harry i'm not sure i'm not sure but i mean yeah i'm also not sure it sounds good though i i didn't actually realize there was there was this sort of um tension to the film. I didn't really know necessarily what it was about, so I'm glad to have one to check out for my own. Yeah. Maybe put it on the iPad and watch it in Mexico next week. Yeah, definitely. Or when you're listening to this two weeks ago. Right. Man, the 70s had some good stuff for sure. Sure did.  Alright, I'm going to go chronologically forward from 1963 to the natural 2006 for another one that, man, it's a bit of a broken record at this point, but another one that I kind of thought was on the list, and that's The Departed, which is my favorite Martin Scorsese film. It came out in 2006, kind of a stacked everything. This is a Boston cop drama from Scorsese with a truly ridiculous cast Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Sheen, Ray Winstone, Vera Firminga, Alec Baldwin, Kevin Corrigan. It just kind of keeps going. Um, yeah, I've seen this movie several, several times and, and recently a couple more times because of the rewatchables, a podcast from the ringer network and bill Simmons and, uh, They do a great job kind of breaking down various elements of this and, you know, parts of the movie that work and parts they figured don't. I think this is a truly incredible kind of cop drama. I don't know, again, that there's one especially like it. It's technically in some ways a remake. Some people in the audience may take a position on either side of this line, but it's my understanding that it's essentially a remake of a 2002 film from Hong Kong called Infernal Affairs.  And then in some ways it's based on multiple real life characters, most specifically Frank Costello, who's played by Jack Nicholson, is a direct reference to the crime boss Whitey Bulger. Oh, right. And so that's kind of the main... This is an exceedingly kind of adult film. It's violent, it deals with the worst parts of people's character and repression and post-traumatic stress and the rest of it, but it's also beautifully done. I think it's my favorite DiCaprio. That's kind of a tough statement because I'm a huge fan. The extent to which he operates for a movie that's a couple, a few hours long, but the extent to which he operates like a live wire, like you can just feel the tension, like the electricity of tension coming off of his character throughout this whole film. Yeah. Really, really does. Because a lot of times you see, movies that are about a cop or a cop that goes undercover. And either they go too deep in it, like it kind of aligns with the darker side of their personality and they, they, you know, they're in too deep to come out, that sort of thing. Or they deal with things in a more like direct fashion. This movie manages to capture the stress of that scenario from multiple people lying about who they are and then how that plays out in other aspects of their life. Like it's somehow more more human or more complicated storytelling than just, I did this so I drink too much at night or, or I did this and now I, I, you know, I had to go deeper in to prove my willingness to be part of this crime syndicate or whatever. Yeah. And it's, it, the movie has this unstable kind of fast cut quality to it. Some of the camera works very strange that you want to talk a soundtrack. There's some very kind of uncommon use of similar to the same song multiple times. Huh?  Um, there's elements of this movie I just absolutely adore. It tells a fairly complicated story of, yeah, like an inter interconnected set of lies that all kind of come together, uh, towards the end of the film. I think it's a, it's an absolute winner. |
|Jason Heaton|It's been again, another one that I haven't seen in a long time. You know, I have a tendency, I realize as you're describing this, I don't rewatch a lot of movies. Um, and I feel like I want to start doing that because like I said, like I said, with play misty for me, like there, You know, the first time you watch a movie, you're at a certain point in your life and it just hits you differently. And I think totally, um, this is, I think this is, this will be one of those movies that I probably watched it in 2006 when it came out and probably not since. I mean, that's, you know, that's close to 20 years. I mean, I think, uh, it's, it's definitely time for a reviewing and what a cast. I mean, I'm just like scrolling through these names and it just goes on and on and on and on. |
|Co-host| Yeah. And everybody whose name you wouldn't necessarily know, like enough for us to sit here and list them. You see them and you go, Oh, I know that guy. Yeah. Yeah. Oh, I know that guy. |
|Unknown|It's got every, that guy. |
|Co-host|They're all in it. Yeah. And as good as, as Damon is in, I mean, talented Mr. Ripley, let's, let's just stick to this episode. Yeah. He is next level in departed. Yeah. Yeah. All of his talents in one film. It's great. |
|Jason Heaton|Yeah. Yep. Time to time to rewatch that one. |
|Co-host| Yeah. Not one I would say you sit down and watch with the kids. True. Uh, it's a pretty tough, super violent, very disturbing at times film with every single, you know, sort of adult theme that it can have. But if you can, if that's up your alley or works for you, I think it's a, it's a great one. If you haven't seen it yet to check out or, or if you haven't seen, seen it in since 2006, it doesn't feel like it was that long ago, but there it is. |
|Unknown|Yeah. |
|Co-host|Yeah.  A great wall. My favorite Wahlberg. Definitely. 100% my favorite Wahlberg. |
|Jason Heaton|Yeah. I mean, he's, he's had his ups and downs, but this was, this was a high point for sure. All right. What have you got for your final pick? I've got my last one is from 1984. Um, difficult movie to watch. Um, historically significant. Um, just a huge movie. Uh, the killing fields. Uh, this is a movie based on a true story. Um, heavily based on a true story about a journalist, named Sidney Schoenberg, who teams up with a local guy in Cambodia, Dith Pran, where they're real names. And then they're played by Sam Waterston, who's just fantastic in the role, and Hang Noor, who plays Dith Pran. And they play journalists that are on the ground towards the end of the Vietnam War, that is kind of spilled over into Cambodia when Pol Pot is kind of in his reign of terror, sort of cleansing the population via the, you know, the namesake of the movie, The Killing Fields, where he slaughtered, you know, millions of people. And Waterston plays this journalist who's across the border in Cambodia, investigating what's going on there with Dith Prahn as kind of his local fixer and a fellow journalist when things just get too dangerous. And Schoenberg's, you know, he has to pull out, but Dith Prahn is left behind and ends up um, becoming kind of lost in, in, in this, this horror. Um, and then Schoenberg, you know, kind of takes it upon himself to, to, to try to find him and get him out. Um, and it's, it's just an incredible, um, incredible movie, you know, 84, you know, Waterston. I love seeing him. He, he has this distinctive face and his voice and his delivery. I mean, I just love him as an actor.  Um, and to see him in one of these early films, uh, as a much younger person, I mean, he plays the role perfectly. Um, he has that sort of, um, that ability to kind of ramp up emotion and kind of show his, his, you know, displeasure and, and sort of in a very realistic sort of way. Um, John Malkovich is in this film, Julian Sands, uh, who sadly, uh, died while hiking in California earlier this year. Um, he's in the movie. I always have liked him Spalding gray.  It's, it's a chilling movie. I think it won several awards. Um, you know, there's a book that it's based on. Uh, it's, it's really well done. It's again, it's, it's difficult to watch because of the subject matter, but it's a, it's a really, really good movie. |
|Co-host|Yeah. I don't, uh, I don't know this one. I mean, I know it by name, but I've never seen it. Uh, definitely. It looks like a heavy topic. I definitely have read into the story behind it in the past, but haven't, haven't seen the film. |
|Jason Heaton|I kind of go through these phases where, you know, I like these movies that are sort of about a war correspondence or, you know, photojournalists kind of behind enemy lines, whether it's in, you know, Vietnam or, or World War II, or there's a film with, uh, early film with Mel Gibson, the year of living dangerously that I was tempted to put on the list as well. But, um, another kind of movie kind of in a similar vein, but, uh, I think this one stands head and shoulders above. |
|Co-host|So yeah, check it out. And that rounds out your five to round out my picks. Here's my fifth and it's 2018 annihilation, which is by Alex Garland.  And it's a science fiction movie that I've probably seen at this point, I don't know, maybe not double digits, but close. |
|Unknown|Wow. |
|Co-host|Okay. It's Natalie Portman, Jennifer Jason Leigh, Tessa Thompson. It's got Oscar Isaac, and it's a pretty good cast. It's a very strange film. I'm fairly certain it's based on a book, the tagline or the description is a biologist signs up for a dangerous secret expedition into a mysterious zone where the laws of nature don't apply. So it's somewhere on the Eastern seaboard, um, essentially like a comet or a meteor or whatever hits. Um, I guess that makes it a meteor hits the earth and slowly from the point of, of the, the impact, there's like a bubble, like a shimmer, kind of like a dome. Yeah.  that emanates outward and anything inside the bubble, its DNA refracts or changes. Huh. You know, I've read a lot of background on this and, and, you know, there's, there's kind of multiple layers to what they claim the statement is about. It's a, you know, it refers mostly to cancer and what happens to, um, a cell, uh, that is afflicted with cancer. And then on top of that, it's about kind of the cancer of lies or, or mistrust between you know, people in their day-to-day lives. Uh, it's this very complicated story that, that sort of overlaps, uh, a sort of action element of them, a group of women going into the shimmer to find people to find answers. Uh, Natalie Portman's husband is Oscar Isaac, and he had gone in as a military operative before her. Um, she didn't know where or why, but that's was later connected to that. And it has some horror elements. It has some, thriller elements, and then it has some fairly deep sci-fi towards the end of it. I really like this movie, but it's strange and weird and not really like anything else I've seen before. And if you know Garland's stuff, that's kind of, in some ways, if you could be par for the course for not being par, that's how he operates. I found the men to be less interesting than this, but if you know Ex Machina with Alicia Vikander and Oscar Isaac as well, and Domhnall Gleeson, a fantastic film. It follows that line in terms of there's this like kind of background hum of just general dread throughout this whole film, uh, that I find kind of addictive. And I really like the aesthetic and what they establish in this film as far as the sort of metrics of what happens inside the shimmer. You're there's some genuinely terrifying things that happen in this film, uh, that are, it's, you know, gory and terrifying and scary and, and the rest of it. So, you know, all that on the table in front of you. But if, if you enjoy something in this vibe, this sort of loose ends, not a lot of answers, kind of scary exploration, I think it's a great one to add to the list. And I think Garland does a beautiful job with this. I would argue that his, my favorite work of his is, um, a show that he did called devs. |
|Unknown|Oh, okay. A few years ago. Yeah. |
|Co-host|Which I genuinely adored, um, essentially, uh, uh, like a Silicon Valley sort of next wave of an Apple style company creates a computer that can do something that other computers couldn't do or can't do. Sure. Um, and it's, it's a really fabulous story as well, but I annihilation as far as his films go is, is, is my favorite. Uh, it's a, it's a really cool thing. A huge Natalie Portman fan. |
|Jason Heaton|Yeah. I've never heard of this movie. Um, I did like ex Machina and the fact that you've watched it almost double digits in, five years of it being out, that's saying something. |
|Co-host|So it was my go-to airplane movie for a while. |
|Jason Heaton|Oh, okay. I usually shy away from kind of sci-fi stuff, but whenever I give in and watch them, I I'm usually pleasantly surprised, especially if it comes recommended from somebody. So I will, uh, I'll add it to the list. |
|Co-host|I think for at least the first two acts, maybe would say the first two and a half, the movie basically has the same tone as the thing. Oh, okay.  which is a favorite of mine. So it has horror elements, but a lot of it is about the leak, the leering sort of background quality of the terror. Yeah. Yeah. Then it is necessarily like direct there's both just like in the thing. And in this there's like more direct terror, but yeah, I think it's, it's in my mind, it exists, it sits in a similar world as, as the thing. Yeah. Which I love and was a past film club pick. Yeah. Sadly, no Kurt Russell in this.  And so that was my fifth. Jason, for your five, you went with Ronan from 1998, Snatch from 2000, To Catch a Thief, 1955, The Killing Fields, 1984, and finally, Clint Eastwood's Play Misty for Me, 1971. |
|Jason Heaton|And you had The Talented Mr. Ripley from 1999, Silence of the Lambs, 1991, Annihilation, 2018, The Departed, 2006, and Charade, 1963.  Quite a, that's a solid 10, quite a 10. |
|Co-host|We always say this, but yeah, pretty solid 10. |
|Jason Heaton|Yeah. Yeah. I would say it was a, one of our better film clubs. I think we've, we've, we've had a mixed bag of kind of sleepers and classics. I feel like this one, we hit some, some real classics that that should be on everybody's list. So really good one. |
|Co-host|I think so. There's also weirdly like some pairings. I think we could draw between these two. Like there's something that kind of aligns, I guess it's the part of the world with talented Mr. Ripley and Ronan. |
|Unknown|Yeah, true. |
|Co-host|Yeah.  loosely takes place in a similar part of the, you know, so the, the Riviera, um, I think, you know, snatch. And then we, we mentioned lock, stock, two smoking barrels. You could, you could do both of those together. I think to catch a thief and then charade would be like an excellent sort of one, two, I want to say charade was one of Cary Grant's last movies. And I think in some ways it would have been fairly early in Audrey Hepburn's career. I think the Delta in their age is pretty remarkable in that film. Yeah.  I think that's, that's 10 solid ones. There's at least a couple on here that I haven't seen in a long time or in the case of, uh, the killing fields and play Misty for me at all. Uh, so we'll have to check those out, but, uh, we're coming up on an hour here. So do you want to put a bow on it with some final notes? |
|Jason Heaton|Sure. Yeah. Um, I've been on this quest for, uh, I guess I got a, a bit of a bug for rugby shirts. Um, you know, I used to, I used to wear them a lot. I had, I had some old ones. I had a Patagonia one for years. I had a lands end one for years. Both, you know, both brands make a great rugby shirt, but I've gotten rid of them for one reason or another over the years. And with cooler weather ahead and, and you know, just kind of seeing some, some pictures lately of rugby shirts. I was like, I need another rugby shirt. So I went on to our Slack community and I asked for feedback from people to recommend some different brands. And I got a lot of recommendations and I've actually ordered, No less than three rugby shirts from three different places. Um, and one of them has arrived. The other two are due to arrive at some point this week. I'm not sure I'll keep all of them. I kind of wanted to try them. It's, it's one of those things I think with, I don't know if you like rugby shirts, but like there, there's a quality to them that like when you feel them, you know that it's, it's a keeper or it's what you were looking for. And some feel a little too thin or fashion-y. Um, so I was kind of picky in that regard.  But, uh, the first one that, that I got was from a company called with or not, which I had never heard of. Um, but I kind of liked their vibe and, and they specialize in these kind of retro style rugby shirts with a specific sort of leaning towards, um, that era, I guess you'd, you'd say it was like eighties, nineties when rugby shirts, they sort of straddled the line between sort of prep style and kind of dirtbag climbing culture. If, if that intersects, you know, if you, if you kind of read through the Patagonia history and with Yvon Chouinard, he, you know, he pioneered or, or kind of adopted the use of rugby shirts and like corduroy trousers, um, for, for climbing clothing, because he couldn't find anything that would kind of hold up to the wear and tear of, of rock climbing. And so he became a real fan of rugby shirts and that's how Patagonia started selling them. Um, unfortunately I couldn't find one available from Patagonia because I know they make good ones. So I was directed towards whether or not, And they have a big number of sort of retro styled, um, well-made, uh, rugby shirts. And the one I ordered is, is the one called the blue Ridge, um, which isn't a traditionally striped, you know, when you think of a rugby shirt, you think of kind of the traditional hoops, uh, of, of alternating colors. Um, I did order a couple of those from a couple of other companies, but, but with this one, I went with a blue Ridge, which is sort of this, um, I guess in Land Rover, um, parlance. It's, it's the color marine blue kind of matches my series three, um, in the color, but then it has, uh, kind of a thicker band of alternating stripes near the chest. Um, and so far, you know, having just gotten it and the weather being too warm to kind of wear it comfortably, I haven't really worn it much, but it's, it has the right heft to it. It has that sort of, I think it's like a 10 or 12 ounce cotton sort of twill, um, soft, but, but thick enough that I can tell it's going to last a good long time. It's got the rubber buttons.  Um, so yeah, I'm, I'm, I'm excited for it. Um, and if you're a rugby shirt fan, uh, you know, so far I like it and it's a cool company to check out. |
|Co-host|Sounds like you, you're definitely going as deep as you can into the rugby shirt realm as a fun followup to, uh, yeah, I guess it was last episodes or maybe the one before that, the, uh, chambray shirts from, uh, the, or the history of the, the Navy chambray shirts is always a fun one. So I think that's good. We're definitely going into the shirt realm these days. I like it. Yeah. Yeah.  Very cool. Good luck with the other ones arriving. I hope they also offer a take on it that you enjoy. Yeah. So my pick this week is actually a set of speakers that I bought for my desk. There's been some interest in the desk setup on the Slack. So I went through various setup. I think I've got a setup here that I'm fairly happy with. And while some stuff like the CalDigit TS4, which is a Thunderbolt dock that I bought to connect all the monitors and everything else that you would expect to be pretty good because it's very expensive.  Yeah. Um, on the other hand, I wanted a set of small speakers and I mean like actually not that big for my desk. It's not a huge desk. I don't want to use, I don't want a desk that takes up the entire room. I also, you know, probably we'd say seven times out of 10 we'll just use headphones, but I wanted the ability when I'm shooting watches on the other side of the office or moving around to just have some podcasts or music or whatever in the open air.  And then there's a chance that I would want to, say, edit a TGN without wearing headphones occasionally. I haven't really worked my way up to that. I feel fairly specific about it. But I wanted a set of small monitors. And the truth is, if you're talking, like, actually small, there aren't that many. And a lot of them that do exist that are small are still really quite expensive. And when it comes to speakers, I really like starting as low as I feel I could and move up. Yes, this is the most expensive way to do it. Your smartest option is to buy whatever's at the absolute top of your budget. So let's say I maybe was considering spending up to $1,000 on monitors or speakers for my desk, I should probably just go with the Kef LSXs, which I've owned in the past and are really nice and would work perfectly. Instead, I looked around at what was roughly the same size as the LSX, but significantly less money. Due to aesthetic reasons and cost and the rest of it, I really started to look at these speakers from a company called PreSonus, P-R-E-S-O-N-U-S.  And they make an heiress line of like home monitors, like not super high end, certainly actually these are pretty entry level. Uh, but they make ones with a 3.5 inch, uh, design. So that's the largest speaker in the pair of the two diaphragms is 3.5 inches. So it's called the heiress E 3.5 studio monitor. And I mean, they're currently on sale on PreSonus's website in the U S for $90. I've never heard a set of speakers for 90 bucks. It sounds like this to be fair. Wow.  They're not better than a $500 set of speakers, but given the size, the fact that you don't have a subwoofer or, or anything else to just have a nice, attractive looking set of speakers on the desk, they're powered. So you don't need a monitor. They just take a headphone jack or you can go balance. So if you're dealing with audio interfaces and that sort of thing, you can use a balanced input, which is typical to a monitor, but they have a volume button on the front ox in a headphone jack and a power switch. Very simple, not that heavy.  I think about six inches deep, maybe seven inches tall, really a nice size for a medium sized desk. And I've just been really impressed by them. They're not going to blow you away by any factor. They're a 3.5 inch hundred dollar speaker. But for those two things, for the size of the speaker and the price, if you're looking for a desktop set of speakers or something for maybe a workspace or even on a bookshelf in the right sort of room. Yeah. I'm very impressed by what you get for a hundred dollars. |
|Jason Heaton| Yeah. I mean, and I think, you know, you already have like a hi-fi set up in your living room, right? I mean, so, so for something in the, in the office, I mean, I think size is obviously a consideration and these, these seem compact enough. Um, it's kind of, I guess you're trying to balance, you know, size and desktop real estate with, uh, with sound quality. |
|Co-host|So. Yeah. Cause the other option would be like, put my desk in a different part of the room, pull it out from the wall by a foot and then put speakers on a stand behind them. Oh, sure. Yeah.  But the room isn't that big. Like I'm, I'm, I have a, what I consider to be a very large office. It's several times the size of the closet I had in Vancouver, for example. Yeah. But it needs to be sort of a mixed use space and I didn't want it to be all desk. Right. And even then, yeah. If I spend a thousand dollars on the speakers that I normally use headphones, I'm wearing headphones right now. I'll, I'll use headphones for, to edit this episode most likely.  I mean, like once I do the plugins and the, and the quote unquote, the edit is done, I think I could do the rest on these speakers. Like once I'm comfortable with the mix, then it would just be actual, the cutting that, that goes through the edit. But yeah, I think for the money, if you're in the market for a set of speakers and you want to go, let's call it the distinct step up from something like, you know, a Logitech that you'd get at Best Buy. Yeah.  These should be on your radar. I'm just, I'm, I'm impressed. I wouldn't say they're great if you really like bass heavy sort of music or like a big thump because they're, they're little speakers. Yeah. But otherwise I'm, I'm super impressed. They work great for spoken word, which is most of my listening. |
|Jason Heaton|Yeah. And you've been posting some photos of your, your new desktop setup in your, in your new house on Slack. And it's kind of interesting to see the evolution. It's, it's inspired me to kind of revisit my setup, which is pretty slapdash and, I don't have speakers, but, and I don't listen to really music while I'm working. Um, I find it a bit distracting when I'm writing, but I do, if I would just want to like catch a 10 or 20 minute YouTube video or something, I, you know, it's pretty sad, but I just kind of, I'm watching it on a big monitor and then I'm just using the speakers, the built-in speakers on the Mac book. So this would be a nice option. |
|Co-host|Yeah. For the, for the money, a huge step up from something like that for sure. |
|Jason Heaton|All right. Well, there we have it. Um, kind of our, uh, stopgap episode of kind of an evergreen one with the film club. Um, we were glad to be able to get this one in the hopper and, and, um, certainly out while I'm, I'm out of the country, uh, the week that it goes live. But, uh, yeah, there we go. Film club, volume 10. |
|Co-host|There it is. Yeah. Next week we'll be back with, uh, I assume an episode with all sorts of reports from our trips.  Uh, you know, we're recording this before either of us are going on those trips. So we're going to operate under the assumption that they went very well and we had a very good time. And we'll talk about it in two 51 along with any new watch news and the rest of it. So as always, thank you so much for listening. If you'd like to subscribe to the show notes, get into the comments for each episode, or even consider supporting the show directly, which could grab you a new TGN signed NATO, please visit the greynato.com. Music throughout a siesta by Jazzar via the free music archive. |
|Jason Heaton| And we leave you with this quote from Orson Welles who said, the cinema knows no boundary. It is a ribbon of dreams. |
