
# The Grey NATO – 187 – Watches & Wonders 2022
Published on Thu, 07 Apr 2022 06:42:54 -0400



## Synopsis
The podcast discusses the recent Watches and Wonders event in Geneva, where new watch releases from various brands were showcased. Jason, who attended the event, shares his hands-on experiences and impressions of some of the standout pieces, including the Tudor Black Bay Pro, Doxa's white pearl carbon watches with lume dials, and the Oris Pro Pilot X. James, who was in Sri Lanka during the event, offers his thoughts on the releases from afar. They also touch on other notable unveilings from brands like Grand Seiko, IWC, Rolex, and Patek Philippe, among others.

## Links
- [episode page](https://thegreynato.substack.com/p/ww2022)
- [episode MP3](https://www.buzzsprout.com/2049759/11310931-the-grey-nato-187-watches-wonders-2022.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|James Stacey|Yeah Yeah, I mean, it's not my personal taste. I think they needed to offer something different from the Pepsi And I'm curious to see what comes next. I mean, they've got me to scads of of possibilities ahead. You know, I mean, they could do a full black dial. They could do a Coke. They could do, I mean, I'm sure they'll, they'll spin this off in countless directions, but, uh, yeah, I'm not, I'm not a two-tone guy. I think two-tone works. If you take it off the bracelet, a two-tone bracelet, I think it works well on, it's a little bit more subtle. |
|Jason Heaton|Yeah. Yeah. I mean, I could see one of these on a bond and you, and yeah, I work for you. |
|James Stacey|Yeah. Yeah. I could too. Yeah. I'm not quite there yet, but you know, I could do it. |
|Jason Heaton|A champagne dial would have been cool. |
|Unknown| Yeah, right. |
|James Stacey|And I think this was kind of the second fiddle of the show for Tudor, but I think the obvious big talking point, especially in the TGN world, is the Black Bay Pro, which I, you know, you wrote a couple of articles about this, you had the hands on, you had a lot of great photos of it. You know, tell me about it. I mean, is this a watch, I guess, you know, This is a watch that clearly, I mean, people, it's no secret, it's going to appeal to both of us, but is this a watch that you would put down your money for? Is this a watch that you want on your wrist or is there something still missing? |
|Jason Heaton|Well, for me, I think, you know, a lot of people wrote me and said, look, it's the two you've been asking for, the two you wanted, like, and I feel like that's a pretty big misrepresentation of some things I've been super clear about. Yeah. And that I want a diver with a GMT. And this is very much a modern expression of say a 1655 or really it's of a 16550. Sure.  from a technical standpoint, because it does do two full time zones, just like a Black Bay GMT. It's the same movement. So while it looks a lot like a 1655, you have to remember that was a 24 hour hand. It wasn't an adjustable second time zone. So it's kind of a mix between like a watch. I already have the 16570 with some aesthetic from the, especially the bezel and case, right? Bezel case, a bracelet from the 1655.  I could absolutely see buying one of these. The only thing that that would keep me from putting my credit card down on the table is cause it's so similar in function and aesthetic to the 16, five 70 I already have. Right. Yeah. And that's no fault of this watch. I'm looking at this watch for what it is. I think it's a really interesting direction to take the black Bay because it's almost like they took the North flag and a black Bay GMT and blended them. |
|Unknown|Mm. |
|Jason Heaton| And of course, the North flag isn't around anymore, but you've got this sort of steel with yellow accent, a nice matte dial. You've got new ceramic loom, which is very bright and really holds light in an interesting way where it's not quite white. It doesn't look faux, but it's this off white color. Yeah. That's quite distinctive in person. Yeah. I love the bezel, of course, being a huge Explorer II fan. For me, I think this watch will be a godsend for someone who really likes an Explorer II but doesn't want a 42 millimeter one that costs 20 grand on the secondary market. Yeah, that's true. That's a good point. This watch, after a bit of a wait, I think you'll be able to get this watch at retail. It's a little under four grand, it's four grand even US if you want the bracelet. A lot of people are concerned about the thickness, which is 14.6 millimeters, so it's just a hair thinner than a BBGMT. But of course, it's a 39 millimeter case, I was very clear in my article and I still had people DM me saying like, Oh, tell me the real thing that you didn't put in your article, which I find deeply offensive. Yeah. I only put what I think in my articles, you know, it's, it's all good. I just say what I want. It's not that thick in person. It wears nicely. It doesn't wear as thin as, um, as a 16, five 70, but it's double the water resistance. Yeah. I think that if you, I don't think you have to like a big sports watch, which is a caveat I like to throw around. I think you have to like a somewhat bigger sports watch to do the BB GMT on a bracelet that has a lot of weight and it's a lot of side heavy. This I think just works. It's 39 millimeters. It's the right amount of dial. It's the right amount of bezel. It's not a thin watch, but it wears exactly like a sports watch. And I also think if you're really worried about how much it may or may not look like a 1655, the first Explorer II, I'd say, you know, compare some, you know, make yourself a little photo, put them both up on your screen. Uh, the dial is drastically different. It's, it's a black Bay in, in a 1655 sort of case layout. Uh, I'm, I'm a huge fan of this watch. I think if I was going to buy a tutor right now, this is immediately in my top three easily. You know, the Pelagos will forever be a contender because it's so light, it's easy to get away with the dimensions.  Yeah. But deep down what I, of course, I feel like, again, I was super clear about this early in the year when I made a Photoshop of it, but for me, the one, the one that would be a no contest would be a Pelagos with a GMT or a BB 58 with a GMT or something where I still had the dive watch. I want the all-in-one. Yeah. Now, if I didn't have a 16, 570 and lots of people don't, this would be a no-brainer credit card would have come out. Yeah. I like it a lot. It's absolutely worth considering. I think on a NATO, it's going to be killer. If you like a bracelet, it's going to be great.  And it's everything you want from Tudor. It's nicely made. It's subtle. It looks sporty. I'm absolutely a fan. I think they did. I think this is in the top three watches of the show easily and in the top three watches from Tudor to my eyes, a great job. Yeah. What'd you think of this from afar? |
|James Stacey|I'm not super keen on the strap choices, but that's not a big, you know, that's not a deal breaker. I think, you know, 20 millimeter lugs. Yeah, exactly. So I just put it on any of my own stuff. |
|Unknown|Yeah. |
|Jason Heaton|Yeah.  They don't do it to any of them, so I'm not surprised. |
|James Stacey|But that kind of riveted bracelet style is just not, I'm just not a big fan of that. But yeah, I'd just throw it on any number of 20 millimeter straps that I already have. |
|Jason Heaton|I think it'll look great on leather and super flexible. You could wear it on darker colors, you could wear it on brighter colors, you could wear it on yellow. I think a yellow NATO is going to look really fun, like for a summer look or if you're hiking or something like that. |
|James Stacey|And can you imagine, I mean, here's another watch that has so much potential. I mean, they could do a white dial version. They could do a blue dial version eventually. I mean, it could be, it could be just a fun, you know, a fun family of watches and I'm sure they will in the coming years. I mean, this Black Bay family in general has just been such a rich vein for them to mine. It's just incredible for Tudor. |
|Jason Heaton|Kind of interesting because in some ways this is again, Tudor giving us what some people want from Rolex. Yeah, right, right, right.  Rolex is making these weird moves with left-hand GMTs and no Milgauss and all that kind of stuff. And like Rolex is Rolex. They do what they want. There's no controlling it or you just kind of exist in the stream as it passes you. But with Tudor, it does feel like they continually look to the audience, look to what people are interested in. And even if it's a little bit of a niche play, like I don't think this is going to be their next 58. Sure. Yeah. I think this is, this is a side, a side player, kind of like the North flag was, but the North flag was a cool watch.  Yeah. And, and, and, and a neat design. And I think in this, in this space, they're giving people an alternative to an aesthetic that is understood and well-loved in the Explorer two, but in an execution, it's like deeply black Bay all at the same time. And I think that they've done just a great job with it. Yeah. |
|James Stacey|So you mentioned that it's one of your top three of the show. Um, let's move on to one that I think is probably, I'm guessing is your top of the show. This is from, Our friends at Doxa. Oh my goodness. You want this watch? |
|Jason Heaton|My man. I want this, the 300, the normal. So we're talking about basically what Doxa's done, if you missed it, is they... You remember last year they did the sub 200, their entry level watch, in what they called white pearl. So it was a white dial with some black contrast. Yeah. Perfectly fine, cool looking option, but now they've brought the white pearl look to the entire core line, everything except the chronograph.  is now offered in white pearl, and it's such an easy change for them, and they just knocked it right out of the park. But the thing that really killed me was they're offering the sub 300 carbon as a white pearl is a lume dial. |
|James Stacey|Yeah, lume dials. Geez, come on. We need more lume dials. |
|Jason Heaton|A carbon case with a lume dial, you get contrasting lume on the markers, like it's green and blue. Yeah.  And then I talked to them and the person I spoke with didn't have the specific details. It's not in their press release, it's not on their website, but it's definitely not C3 Lume. It's something else from Super LumiNova. It's not BGW9 either because it glows green. But look at my photos, they're color balanced to that dial. It's like almost actually white. It's white like an egg shell is white. I don't really know how they did it. It doesn't have that...  you know, Jason, years ago, you called that color kind of sickly. And that's how I always think of it. The way that, um, like a loom dial can look in daylight when it's not glowing, it has this kind of off greenish yellow color, almost none of that. It might be there just an ever little tiny bit, but I saw it in daylight. I saw it under the light of my flash. It's, it's like as white as you could expect a loom dial to be as much way more than I could have thought one could be. And it glows really brightly. I wouldn't even, so much a size, the white rubber strap, I think that's terrible. But on a, I think on a black rubber, it would look incredible. I think on a gray NATO, amazing. I think on any, a variety of leather straps, it could look great. Uh, this is the one that has me scheming like, Oh, what do I sell? How do I get one? I love the carbon and, and, and that's the, the 300, the standard 300 in white pearl is also an absolute knockout. It's all monochromatic. The scale on the bezel is in black.  And in person, they're just... These two watches are so good. They did it to their whole range, and I think they did a nice job with the 300T, which is a little bit less expensive, a little bit bigger to wear. The 600T, which I think is still... Remains an incredible looking watch, just doesn't suit my wrist that much. And then the 1500T, which is their 45 millimeter kind of... Big boy diver. Yeah, right. Yeah. But for the carbon and for the 300, both are absolute knockouts. The white dial just works so well.  And I have to think that as long as you get it off that white rubber, you can fight the sort of storm trooper-y monochromatic thing that's happening with the colorway. I think these are just... I want that loom dial so badly. That might have to happen. I've been on the fence for the carbon for so long, right? |
|James Stacey|I agree. And I think, you know, you're... Let's not turn this into our own personal shopping network here. But I do think that you've been circling that carbon doxa for a long time. And I think when I look at your collection and kind of what you're drawn to. I think this is just, it's like that, that outlier, that, that just funky, cool, I think, I think, I think you need this one. And I think, uh, I'm, uh, I'm a little different than you. I, I actually like the white rubber strap and I, you know, I had sourced one for my Seamaster and it's fantastic. I mean, I don't wear it often, but I think like in the summer and like a wrist with a little bit of tan to it, I think, I think it could work. I think you could warm up to that. It would, I don't know, it would probably show dirt if you kind of got a, smudged or dirty or something like that. But, uh, but yeah, on a gray NATO or, or, or on the, on the black DOXA fitted rubber, I think it would look fantastic. You know, DOXA is one of those brands that I was looking at, uh, you know, Unimatic is, you know, they keep churning out release after release of their U1 and, um, in, in different kinds of formats. And DOXA is kind of the same. Like you think, where can they go with the sub 300 that they haven't been before? How can they keep this fresh? How can they keep spinning out new, watches that stay appealing and new. And they, this is another example of that. I mean, a carbon case with a white dial is, it just looks fresh. It doesn't look like, you know, the, the, the 67 reissue that we saw that we were so smitten with back in, in 2017, you know, when, which I thought was like the be all and end all of, of DOCSIS. They continue to kind of spin off new versions of it that, that stay kind of very modern and, and, you know, hats off to them for doing it. I think it's great. |
|Jason Heaton| Yeah. So I have a story that will have been live for a couple of days by the time this comes up, but it goes through every single model. And also for all of you who occasionally write it in, you go, why is the 300T less money when it has more specs than the standard 300? I have a little comparison of the cases. You'll be able to understand why the 300 wears better. It's kind of the modern thin case, whereas the 300Ts still has that HEV and is a little bit thicker on the thickness and just the way it balances the case is different. I think I make that clear in the story, if you want to look at this carbon, it's in there. If you want to look at the standard 300 with a white dial looks incredible, a different vibe than I was. I thought that it would look a lot more like a sea rambler, right? Cause silver is not that far from white, but because all the accents are black, the contrast is super high. Uh, I think they did a great job. Kudos to docs on this one. Cause it is just a color change. Yeah. You know, it's an, it's a line extension is the easiest way of looking at it, but to take that carbon and do the loom dial, really makes it feel extra special. And, uh, yeah, I, um, I'm going to continue scheming and see what I can make, make it happen. |
|James Stacey|Speaking of kind of color. Um, let, let's just briefly talk about IWC because I didn't see much new in the way of watches from them, but they did some interesting things with, with the, uh, the pilot chronograph in, in different colors. They did the, uh, the Tahoe, uh, version, which is a white. And then what's the other one, the green it's called Woodland, I believe. |
|Jason Heaton| Uh, yeah. So yeah, the Woodland, um, is sort of the green one. The Lake Tahoe is a sort of white one. They're both making about a thousand and you're looking at like, you know, about 11 grand for them. |
|Unknown|Yeah. |
|Jason Heaton|You know, these are, these are larger watches. Um, I was happy to see that they decided to make the kind of 41 millimeter chronograph in serratanium. Yeah. Uh, I didn't get to see it with the full serratanium bracelet, which is apparently an option. Uh, they didn't have one to show, but I did see it with the sort of nice textile strap they offer.  And don't get me wrong, it's quite expensive. It's a big jump in money over a Spitfire in 41 or the standard chrono, the sort of like the current edition of the 3705, but pretty clever. And I've never been a huge fan, or at least I'm a worrisome fan of the whole like phantom dial trend. You remember that was a big thing eight years ago, 10 years ago, where you'd have a black dial with black markers or even a tinted crystal to kind of give it like this stealth thing. They went like 10% into that. It's like when you get your car tinted, but you're, you're, you're chill about it. It's like works, but it's not like pitch black that the, uh, the legibility was really good on, on the watch. I got to see it in person and shoot some photos, a good looking thing. Uh, you know, we're standing there and, and, or Jack and I are walking through the hall kind of towards IWC and a bunch of people run past us with cameras and like do the, the like paparazzi one 80 and start snapping. |
|Unknown|Yeah. |
|Jason Heaton| And we turn in like about five feet to my right is Lewis Hamilton and a couple people. Oh yeah. Um, so he was there cause he's a big IWC guy. And if you've been following formula one this year, he's been wearing his Mojave a lot. Right. And it looks really good on him. I mean, he was dressed like head to toe and like this weird bright green pattern, very Dan flash. Uh, but he looked, uh, he looked great and, and it's, it's cool to be, to be that close to, uh, to Lewis Hamilton. I've been, I've been, I think I talked about, I think I talked to this on the last episode, but I got the subscription for the year and my wife and I've been really enjoying formula one. So thankfully this weekend, which I lost due to the coming home, um, from Geneva, there wasn't a race. So Australia was going to be great in a few days when this comes out. But yeah, it was cool, cool to see him. And I think the watches look pretty sharp. I mean, IWC always looks really good. Yeah. Yeah. It's just too big, but that's also like the, the whole brand is kind of wrapped up in that. Yeah. |
|James Stacey| Yeah, I thought those look cool. When we did our pre Watches and Wonders episode, I think I talked about, you know, I'd love to see them bring back the Ingenieur, a simplified version of the Aquatimer, which they didn't do. So, uh, you know, hats off to them for, for some interesting colors. They seem to get a lot of buzz out of that from what I saw, but, uh, yeah, maybe not worth dwelling on too much. Um, Grand Seiko. I mean, Grand Seiko. |
|Unknown|Yeah. |
|James Stacey|I really like that GMT spring to spring drive, uh, Evo nine line. I think that's, That's a cool watch. It takes the GS line kind of in a more sporty direction than they've even had before. And I dig it. I love it. |
|Jason Heaton|Yeah. I really like it. You know, there's a new titanium diver as well, but for my money, it's this, it's the sort of, I think it's the SPG E285. It's the kind of silvery dial GMT. This is going to be easier, especially with reference numbers to just hit the show notes. If it's something that you wanted to see and haven't, The thing I'm gutted about is this is one of, I think maybe two that we'll talk about today that I didn't get to see in person just due to, I couldn't make the meeting work. They were crazy. Like they were crazy busy taking meetings. Um, and, and I had to end up missing that meeting, but the Evo nine collection in general, uh, I think is great. They also have like, um, SPG W's that are nonlimited, which is something to look into if you're, if you kind of have my taste for like a casual dressy grand Seiko, which we've talked about before a lot. Yeah.  which is awesome. But this Evo 9, I think these GMTs look awesome. Yeah. Yeah. Kind of steely, kind of bulky, but like they're the right size. They're 41 millimeters, awesome movement, you know, good functionality, a great looking dial. I think this is what a lot of people want from them. And they're $8,500 watches. Sure. But that's where luxury watches have gone largely, especially at this level of execution. Yeah. So I don't know that that would surprise a lot of people. But the brand also has, let's be fair, a lot of GMTs that look great.  So this is just two more. |
|James Stacey|Yeah. It's not their only two. Yeah. They do GMTs really well. I mean, I think, uh, and, uh, you know, I have a grand Seiko GMT that I very seldom wear because it's, it's just such a dressy looking watch. And, you know, in retrospect, or when I look at watches, like what they're coming out with now with, with these really sporty GMTs, I think that that's definitely more my speed. I think these are really, really a nice direction for them to go. |
|Jason Heaton| If you're wanting to see just what Grand Seiko is really, truly, genuinely capable of, don't skip. I'll put it in the show notes. It's not really the kind of thing we talk about on this show. It's a $400,000, 20 piece limited edition. Yeah. It's the Grand Seiko Kodo constant force tourbillon. That looks incredible. So it's their first, it's the brand's first ever mechanical complication. Yeah. Um, and, and I surprised me, actually to hear that. Absolutely. It's such a flex to come. Oh, with that too, for sure. I mean, they don't count spring drive, right? |
|Unknown|Yeah. |
|Jason Heaton| this is one that it really crushed me that I didn't get a chance to hold in my hand and get a wrist shot. Cause I'll never see one again. That was probably my, probably my option, but it is a, it looks like if grand Seiko made a, a group of four Z, I mean, it's so impressive. Yeah. Super, super cool stuff. Yeah. So don't sleep on that. If you just want to be kind of wowed jaw dropped, it's not in the same vein as what we normally chit chat about, but really, really cool. Yeah. And then yeah, the, uh, the nonlimited SPG W's I think are like deserving of praise, a light blue and sort of a, I think it's a black dial.  And these are like really, really pretty 37.3 millimeter watches with a hand wound movement. Uh, you know, it's a nine S 64, 72 hours of power reserve, like $4,800. This is legit, like classic watchmaking for five grand. How could I not get excited about this? The light blue dial is so pretty. Uh, so be sure to check that out. I think I've rambled a lot about SPGWs, especially given that I think the aesthetic carries over into my little Seiko Dolce. Um, And, but they've been one of my favorites for a long time. I love the size. And, you know, I think the last thing that they did that everyone kind of freaked out for was that, um, trio of the U S L E's in the three different greens. And those sold, uh, at least according to grand Seiko, like the immediately, there was no reason to measure it. They were just gone. Um, so the idea that they can, they can do one with, um, with, uh, you know, being non-limited and still be... Even the black dial, I'm not even a black dial guy, just check them out. These are definitely worth checking out. Great watchmaking for the price and I love that it's no longer limited. I think that's something we need to try and do as much as possible in this industry these days to make things that people can at least wait and then get a little while later. |
|James Stacey|Yeah. Oh, that's great. Sorry, we lost power here. I think I didn't...  They were at this like side exposition that was called I think something silly that didn't sound like a translator correctly called like time to watch. |
|Jason Heaton| And there were a bunch of brands in there. I went over there with Logan. He had three or four brands he wanted to see. And I really just wanted to see Zen. And sat down and saw a handful of their stuff. And I think, again, they've done a great job. They've got these four colorful iterations of the 556. So there's like a mustardy yellow, a sort of reddish orange, they're calling pernelian red. There's an emerald green, it's matte, an emerald green, and then aquamarine blue.  And those all apparently they're entirely distributed. So Zen sold them all to, uh, to their retailers, uh, which is seemed like a theme among these new watches. Uh, I think those are gonna be super popular if you want a five, five, six, which is like a fantastic everyday, great watch now in a kind of a casual sort of in the same expression as like, uh, you know, the colorful OPs and the, um, the new Omega Aqua terrace, it's that kind of trend towards taking somewhat more subtle low key watches and putting kind of warmer bright tones on them, kind of characteristically bright coloring. So that was pretty cool. The one that really wowed me was first they had the ECM 1.1 S, which is a central minutes chronograph. That's the one I love. I love the look of that. You would have loved this watch, man. It's 500 pieces. As soon as I saw this, I was like, oh, I'm gonna shoot some pictures. Jason will freak out on this. It's a little bit on the bigger side, but because it's a black case, I was actually surprised when they told me it was 43 millimeters, because I would have sworn it was 41 and a half maybe. Huh. And it's of left side controls. Yeah. A date at, at sort of three 30 and then all of Zen's technology, but like stark, beautiful. There's just, they just, they just do this sort of thing so well. Yeah. It has a, you know, it's, it's a Zen movement. So you, because it's essentially giving you the same thing as like a Lamania 5100. So they call it the SZ-01 their movement. And, um, and it's been essentially, their movement in for some time. I don't know the history of the movement, but it's likely based in some manner on a 5100, but that one was super cool. They were really excited because it sold immediately again to all of the distributors. So I'm assuming watch buyers will have it. I don't know. I now get to actually eat some crow because the last time we talked about Zen on the show, I mentioned that it can be difficult to get them in Canada. And I slept on the fact that Roald Dorf carries them. Goodness sakes, James, you idiot.  So Roldorf carries Zen in Canada, as does a shop in Calgary. So there's at least two options. If you hear of any of these and you're really keen and you're in Canada, give Roldorf a ping, see what they were able to allocate. But that, yeah, that EZM 1.1S, I was like, oh, this is very Jason. |
|James Stacey|Oh, I loved it. I love the look of that thing. I'm not so keen on the leather strap option, and I don't know that I'd go full black Bracelet which I hear they're coming out with but on that black rubber would just be fantastic or just like a blacked-out NATO would be just awesome Absolutely. |
|Jason Heaton|Yeah. No, I think I think there'd be tons of options. You put your own strap on like like like I say with everything I think you know, it's an all-black watch with red accents a great. Yeah, it's gonna look great Yeah, you know there were there were a handful of other ones. They're doing an all-black version of the u50 S called the BS so they already made an all-black But this one has a blue dial then just as you get to the just as you get to the minute markers goes black So it's like this very delayed gradient. Yeah. In person, this was really cool. You can get it on a bracelet, you can get it on rubber, et cetera. To see them can start to really find some iteration with the U50. This is an LE 500 pieces. So kind of special if you're a Zen fan. And of course, I'm a huge U50 fan being kind of a smaller, more wearable take on the U series. So that one's definitely worth checking out if you like the idea of an all black watch with sort of a It's not even a navy blue. It's a little bit of a brighter blue than that. I wouldn't, you know, not sky blue or whatever, but kind of like dark water. And then lastly, the one that really spoke to me, cause this has been a favorite of mine for years, is that they have a second generation now of the EZM 13, which was their sort of dive chronograph with the left-hand controls. And now they've gone from the 30 minute total chronograph to a 60, which is the big change.  So it's still 500 meters water resistance. It again, uses the Zen, uh, uh, as said, Oh, two, uh, with a 60 minute chronograph in a sub dial has running seconds on the right controls on the left, uh, kind of glove friendly mission specific that all the other sort of great. Um, that's what EZM is all their kind of mission timer stuff. It has all of their like normal proprietary tech, you know, 41 millimeters. Uh, it's about 15 millimeters thick. You get 20 millimeter lugs. You can put on anything.  Uh, as far as a, uh, like a pure dive chronograph goes, I think this is still, I really liked the 13. I remember when it came out thinking this is super cool. And of course, 30 minutes isn't enough to time most dives. Uh, so having it at 60 does make a lot of sense. |
|James Stacey|Yeah. There's such a function first brand. And I just, I love that about them. Every time you see their watches, it's like, you know exactly what it's meant to do. That's just, that's great for sure. |
|Jason Heaton|No, I totally agree. |
|James Stacey|How about Oris? I think they, they kind of got lost in the shuffle this year. I mean, crushed it though. Yeah, but, but they had like kind of one big, piece this year that if you were kind of distracted by the, the tutor stuff and the Rolex stuff, you might've missed it. |
|Jason Heaton|Um, tell me about the, the pro pilot X. It's so good that it does not deserve to be buried. This is in my top three for the show. Easy. |
|Unknown|Wow. |
|Jason Heaton|Uh, you know, it's, it's that, it's that black Bay pro it's the white pearl carbon and it's the 400, uh, pro pilot X. Uh, yeah, I think this is, um, this, this feels a lot like, uh, like, or is giving people what they want. Right. So you're looking at a, um, a 39 millimeter fully titanium watch with a titanium bracelet. I almost think it's kind of like, um, not a poor man's version, but like a, a sporty kind of everyday version of like an Octo from Bulgari. |
|Unknown|Oh yeah. |
|Jason Heaton|It weighs nothing. It has all these facets and chamfers that kind of feel like a, like a fighter plane or a stealth plane. It comes in a gray dial with which, which is more of a black accent with the matching date wheel, or you have an option in, um, sort of a salmon pink dial or a Navy blue dial.  And I just think they, um, I think they absolutely crushed it. So it's, it's again, it's using their caliber 400. So, you know, in-house and, uh, and it's a 39 millimeter case, you know, a Sapphire crystal, of course, a display case back. So you can see that movement. Uh, and again, you know, strap is fully titanium and it has that kind of trick fold over class with the, um, like the, the seatbelt style, like lift system that they've had on other stuff. But if you were a fan of the, Pro Pilot X caliber 115 that came out a few years back, but at 44 or 45 millimeters, this is the one where it's 39 millimeters. It's really good looking. It weighs nothing. It's super sporty. It has that great sort of turbine inspired bezel. Yeah, I love that. I'm so, so happy for Oris. I think this is going to be a really popular watch for them that doesn't quite seem like a pilot's watch, but doesn't not. It's really smart in that it just feels super casual and open to a lot of different styles.  And I think the three colors are smart. You get kind of the punchy pink, the left of center blue, and then the right down the middle gray. I'm a big fan. |
|James Stacey|Yeah, this watch is such an exercise in restraint. It's just, you look at it, it's very stark. But then the use of color, I think, is what gives it that element of kind of playfulness that is so great. Because it could be a very stark watch with the kind of the sharp angles on the bracelet and then that kind of turbine bezel and the stark dial, but then you, you give this punch of color. I'd have a hard time deciding between the colors. I think the gray is a little bit too sober for me. I think I might, I mean, I, you know, kind of go against my usual. I think I'd go for salmon on this one. I think it's just such an unusual color and some of the photos on their website, some of the wrist shots and things with, you know, kind of a sleeve of a sweater or a jacket or something I think would just, I think it would just pop. |
|Jason Heaton| Yeah, I know. I know Cole and Danny felt the same way, that the interesting, the most cool one, the one that was kind of the biggest splash was the salmon dial. Yeah. And I don't disagree at all. It's just, I really liked the way the gray kind of melted into the rest of the watch. Yeah. And again, with that sort of Octo Finissimo vibe. Oh, sure. With the black markers and the really subtle date at six. Yeah. I would also have a hard time because the blue is quite nice. I don't know that I would do the salmon, but I think these are great.  I think that the pricing makes a lot of sense for the brand because you're getting the in-house movement and you're also getting kind of a pretty distinctive thing. There's not other people making a watch just like this, especially if you get a chance to try the bracelet on in person. |
|Unknown|Yeah. |
|Jason Heaton|Uh, this is one where I would be really keen to try it and be able to size the bracelet because my guess is it's like a bit of a jaw dropper once it fits you. Yeah. Yeah. Yeah. Really, really cool stuff. Um, and, and you know, it's or so they have something, they're not going to do all of it at one at one trade show.  Um, they, we were able to see some of the stuff that's coming later in the year and all of that looks really cool as well. There's some cool partnerships and all the normal stuff that you expect from Morris, uh, they're, they're doing this year and, uh, they've got some great people. Obviously, uh, the team is growing and, and, uh, they've added some fantastic people and, um, you and I both missed their, their event in January. It was just, I couldn't travel that easily. And, and, um, it's a treat to reconnect with them and see these pieces, especially this pro pilot X.  absolutely one of the watches at the show for me. So, so cool. If, if Cole hadn't claimed it, I would happily write about it. |
|James Stacey|Nice. Yeah. Did you get a chance to see Tag Heuer? I mean, I think they leaned into the dive line, which I've been craving for, for quite some time. Um, I, I, I was quite smitten with a few of the, the, the tags this time around, which, you know, normally I would not look twice at like they've got this, uh, the super diver, this thousand meter thing with the crown protection and it's a giant, you know, 45 millimeter case and the Kinesi chronometer grade movement. I mean, it's, it's like, I feel like TAG needed to play in this space. I think they'd been out of it for a while, like the planet ocean, sea dweller kind of space. And I think they did a nice job with this. |
|Jason Heaton|Yeah. I am. I didn't get to see TAG. It was another meeting I just didn't get to. So I'm, I'm, I'm going off the same sort of coverage on Hodinkee and otherwise that I've seen.  I still haven't seen a price yet for the... Oh, yeah. For the Super Diver. Yeah. But I think it looks great. I hope this is a direction that they continue to move in. As I say, with every 45 millimeter watch, I'd love to see the 41 millimeter that you also have in your PowerPoint deck that you just haven't made yet. Yeah. But I think this looks really good. I mean, there's a few details here that stand out for me. It's nice applied movements. It has that sort of long standing Aquaracer kind of garage door dial with the horizontal lines.  And then it has this nice minute ring around the outside, which I think elevates the whole look. And of course a solid movement, same sort of movement we're finding in obviously Norcanes and Tudors. I think it could be good. It's just not one that I saw in person. 45 feels a little bit on the large side for me. I do also like the solar powered 40 millimeter Aquaracer. That makes a lot of sense to me. |
|James Stacey| the super diver and the solar graph with the, with that solar movement. I think those were two kind of unexpected moves for tag. And I think people kind of liked that they, they, they're taking some steps with the dive line, especially me. I mean, I, I was, I was kind of excited about these watches. I mean, I I'm, I've not made a secret of the fact that I like, I like a big oversized dive watch and I think I would definitely do the, the super diver, you know, it's along the lines of that. Uh, um, what was it? The, the Avenger Seawolf Breitling, that big giant thing that I picked in our Breitling challenge. I mean, this is like one of those watches that's like when you want to throw on like a big colorful watch, big colorful sports watch, and you don't make any bones about it. I mean, this is their version of that. |
|Jason Heaton|I have no doubt they'll have... I mean, this is a brand with an incredible amount of reach, right? Yeah. So they're definitely going to find an audience for these things. I think if you don't know the Solar Graph Aquaracer, check that out even just for the bezel.  The bezel's wild on the black one with the black dial. It's this kind of green electric-y sort of bezel. It looks like something like a finish from a guitar almost. |
|Unknown|Yeah. |
|Jason Heaton|Yeah. Yeah. Good for TAG for sure. Them and Grand Seiko, I was pretty bummed. You can only take so many meetings and those two just didn't work out. So those are watches I'll have to see later in the year or at another time, but certainly TAG did a handful of stuff between you know, more, more automotive theme stuff, uh, a new Hoyer Monaco golf, uh, kind of addition, but the, I definitely like, like that they're pushing into the Aquaracer space. I think that makes sense. And especially with stuff on both sides of China, the wearability scale at 40 millimeters and 45. So, um, I think they had a good show. They seem to be doing well. I know that the, the folks from hoodie key that did go and see them, uh, were pretty keen on what they saw. So that's great. |
|James Stacey| All right. I mean, I think that that kind of covers the, the real core TGN stuff. I mean, anything else you want to talk about? I, I was smitten with that Vacheron 222, which, you know, totally not in my wheelhouse, but what a, what an amazing looking watch. |
|Jason Heaton|Yeah. People are upset because it's, it's limited and it's now it's become like a hype thing, which isn't something that Vacheron normally does, but they weren't ever going to make a non-limited version of the 222. You know, it's a historic piece. The cards were all on the table. I got a chance to have it on my wrist for about five minutes and it is Awesome. I'm a huge Vacheron fan. The watch is gorgeous. It doesn't wear like a Royal Oak. It doesn't wear like a Nautilus. It's just, it's its own thing. It's so specific to that era. And I think it's interesting that they started with coming back with not only an LE, which just makes a lot of sense, but also the solid gold, yellow gold instead of rose. And so I don't know if this would become, you know, another line for them where they'll have, you know, this one will sell out. And then in a year they'll show us the steel one or the platinum one or whatever, like maybe, maybe not, who knows. But, uh, you know, huge Vacheron fan. They've always got really interesting stuff. And this watch is like one I would want and, and, and where maybe not as much as the Everest dual time, which, uh, thankfully Zach, uh, Pina had on his wrists and I was able to try on, uh, my dream watch. Uh, it was fantastic. What a thing. Um, but yeah, Vacheron that two, two, two just crushed. |
