
# The Grey NATO - Ep 51 - Live From Geneva It's SIHH
Published on Tue, 23 Jan 2018 09:59:29 -0500



## Synopsis
The podcast discusses the notable watches and events from the 2019 SIHH (Salon International de la Haute Horlogerie) watch show in Geneva. The hosts talk about their favorites from brands like Baume & Mercier, Montblanc, Panerai, Cartier, Jaeger-LeCoultre, and others, highlighting aspects like design, pricing, and innovation. They also share behind-the-scenes experiences from attending the event and meeting brand representatives and personalities.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-51-live-from-geneva)
- [episode MP3](https://www.buzzsprout.com/2049759/11311070-the-grey-nato-ep-51-live-from-geneva-it-s-sihh.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|Unknown| And so that's how I see it. And, and yeah, I like that. It's appealing to people who. Just like I said, in the, in the submersible review have been benched Panerai fans really like the aesthetic aren't going to get on the court with a 44 or 47. So yeah. Yeah. I say good on them. Uh, and, and if you're deep into Panerai, I think they'll probably continue to make the core models that you really like. And, and, and I think you could just cast a blind eye towards the other stuff. Yeah.  Yeah. So the next one that stands out for me, and we can go quickly because I think this one appeals a little bit more to me than it does to you, but it was one of my favorites from last year was the Cartier Drive Extra Flat. And of course, last year it was only available in precious metals. And I remember saying in the meeting, as I'm sure they heard from everyone, I'm not saying that what I said was special, simply that I was probably part of a chorus. I said like, hey, you know, this would be real sweet and steel. It's super thin.  and it's gorgeous and unlike the rest of the drive the crystal is very close to the dial because of how thin it is so you the reflections the crystal is a little flatter than it is on the standard drive of the moon phase and you don't get as many reflections and then on on top of that you have a kind of a silvery dial yeah no seconds and then bam this year they come out with the same thing but in steel at 5600 bucks with that piaget movement yeah yeah it is a beautiful watch it's like six six and a half millimeters high so it's it just hugs the wrist just so slim it fits so well it's such a nice shape um aesthetically i think it's super legible i think that if if you if you're in the world of wanting a dress watch i think this has to be on your list yeah because it doesn't look like other dress watches it doesn't look like a Datejust right it doesn't look like a Patek It looks like its own thing. I love a distinctive element. Right. It's super thin. So you're, it's never going to bother you on your wrist. And I think that Cartier, at least, and this is maybe me projecting something onto Cartier or me accepting something they've projected to me. I don't know. But Cartier has this ethos of just like, it's class. Yeah. And, and I think that you see it in the tank and I love the tank, but there's something more youthful about the Drive Extra Flat.  And to have it in steel just feels so everyday. And then at $5,600, I mean, like, I'm not going to buy one. I don't need a dress watch. But if I was in that world, I'd be trying to think of a way, like maybe sell a couple and get a drive. I just think they're really, really cool. I mean, at that point, you're into the range, like I said earlier, of like a high-end Nomos. Right. Is going to start to edge into that price point. You know, your used Datejust or something else that you could wear to the office, but also wear out to drinks with friends in the evening or to dinner or whatever. I mean, I could gush about that one for a while. I think it's a winner. |
|Jason Heaton|No, I agree. And I think, you know, Cartier's always, I've always admired them from a distance. Have never really even considered owning one. Because, you know, the Santos, the Tank, most of their watches just, they're just not the shape. They're just not the aesthetic that appeals to me. Now this one, that Something about, you know, 40 millimeters in that flat of a watch just has this like just perfect kind of dimension, the way it sits on the wrist. I think 40 is such a great size for it. And you have that really expansive dial with those big oversized Roman numerals. Yeah, you're right. I mean, it's, it's a cool watch. It's never going to age. |
|Unknown|Yeah. Yeah. Not in 30 years. I mean, maybe they won't continue making it like they have the Tank or, or other models, but that watch will still be cool and classy and stylish.  whenever. It's just a good design. I love that there's no seconds and a solid movement from Piaget, for sure. So yeah, we've got only a couple left on the list. You want to jump right into what I think is probably the star of the show, like you had mentioned earlier? |
|Jason Heaton|Yeah, let's talk about the Jaeger-LeCoultre, the Jaeger, the JLC, whatever you want to call it, the Polaris. I think it was actually my first appointment at the show on Monday morning, and it was a great way to kick off the show. It really set the bar high. |
|Unknown|I don't think we would have predicted that they would have topped the impact of the models they put out last year, the Skeleton Hand. Yeah. You know, the Sector Dials, as people like to call them, but I think they did it. At least they made one I want way more. |
|Jason Heaton|Yeah, I mean, you know, the past couple of years, they've kind of gone away from the kind of the proper sports watch that for a few years there they had.  They had a good run, you know, with the deep sea stuff. Oh, sure. Yeah. You know, even the first, the 1958 Geophysic that they came out with, they kind of veered away from that. And I thought, oh, they're leaving sports watches to IWC and to Panerai. And then this year comes out, you know, the Polaris. And it was like such a, you know, just such a breath of fresh air. It was so exciting. |
|Unknown|A chronograph, a three-hander, three-hander with date. Yeah. The alarm and a world timer.  I think, I think that's looking at the site, I think that covers all of them. And it ranges from 41 to about 44 millimeters, the world timer at the top and the no date three-hander at the bottom. And I mean, they all look really good. Um, but that blue three-hander no date. |
|Unknown|Perfect. |
|Unknown|Is just, I mean, it, it's a 6,600 bucks on the leather strap and you're buying this absolutely stunning. It still has the two crown.  The watches need, I really love that they didn't go especially vintage, but they also didn't go in any way like hyper modern. It just looks like a JLC. Yeah. Which is like, how did they kind of manage to do that? It has elements of the diver that I like in it. And even the Navy seal with the 12, 3, 6, and 9. Right. And then that blue one, I mean, in either color, I think it looks great. The photos were great. What did you think? How do they kind of stand out in person? |
|Jason Heaton|Well, when I first you know, caught wind of, of a new Polaris. I remembered that a few years back they did the tribute to Polaris. I think it was like a limited edition, really, really high end expensive thing. And I thought, you know, what, how can you reinterpret the Polaris? I mean, it's kind of a very specific aesthetic and, and they did. And I think you're right. It's of course the, the Polaris was a Memovox. It was a watch that, that had an alarm. It had the three crowns. And I thought, you know, I didn't realize when I heard that they were doing this, I thought, Oh, they're just going to do another alarm diver limited edition. |
|Unknown|Mm. |
|Jason Heaton| Which, of course, they did. The Halo piece, the $12,600 Mammovox Limited. But the other ones, like you said, are much more exciting to me. And the reinterpretation they did with just doing a twin crown, kind of, quote unquote, super compressor style watch with those numerals that are just slightly tweaked from what we've seen in the past. They're a little more squared off. 41 millimeters for the automatic. It's just the perfect size.  It has the steel case back with that kind of super compressor dive helmet logo on the back, which I don't know, it just pushes all the right buttons. And then I'm not sure if that the three hand automatic is provided with the rubber strap. I'm sure you could get it for it, but the rubber strap they put on the, the Memovox limited edition and the date version were just, uh, just this like supple textured sort of almost a tropic style, uh, rubber strap. Um, I wasn't as keen on the, on the bracelets.  But, you know, I'm pretty picky about bracelets. |
|Unknown|The bracelet's really pretty in photos, but then you go right on the site and it's a thousand dollar difference. Yeah. And probably if you ever plan to resell the watch, it's best to go with the bracelet. But if you look at the site, they put the, you know, the black and the blue with the bracelet and then just below it, the black and the blue on these really beautiful looking leather straps. Yes. And man, is that a beautiful watch. |
|Jason Heaton| Yeah, it is. |
|Unknown|Like is the is the blue really good in person? Does it kind of because there's it's mixed finishing on the dial to kind of to kind of replicate the difference, you know, with the Memovox, you had the central kind of alarm circle. Yeah, and they've kind of replicated that across the entire lineup by using different finishing. |
|Jason Heaton|Yeah, yeah. I mean, the blue I personally I'd opt for the black. Yeah, I'm just I'm real picky about kind of blue dial stuff. I think like that.  Oris Carl Brashear we saw in Colorado had kind of the right sort of matte blue, which is kind of my preference. Very dark. Yeah. Yeah. But yeah, I mean, I'm not going to argue with it. I think it was it was it was really nice. And on the wrist, it just they all just just wore really well. |
|Unknown|Oh, I was just gonna say, and how does the how do the larger ones where the chronograph and the world timer kind of edge out the larger sizing? |
|Jason Heaton| I think the 41 millimeter is the one to have. I mean, I think the bigger ones, you know, they work fine. It's a nice, the aesthetic wears that size well. It's not like a 44 millimeter, you know, Panerai with, you've got this giant crown on the side. But I think the 41 millimeter automatic is just, it just wears well. It's not terribly tall. And just that expansive dial on that kind of diameter watch, And no date. With no date, it's just so clean. Yeah. Yeah, just a superb watch. And like you said, you know, the price for a JLC, it's great. I mean, I think, you know, the theme here, I mean, look at the watches we've talked about. Balmatick at $2790, the Panerai base logo at $4,500, and then this coming in between $6,600 and $7,600. I mean, these aren't kind of right in the TGN wheelhouse, you know, the Orises and Seikos and things that we normally talk about. Yeah, for sure.  But in terms of affordability, you know, we have to remember that SIHH, the HH is haute or lingerie, you know, it's high, high watchmaking. And that, that is what most of this stuff is. So in that realm, this is a very good price for, for, you know, for a really, really fine watch. |
|Unknown|Yeah. And, and, and arguably you probably can't buy from a better manufacturer than Jaeger LeCoultre. Yeah. Like that's without a doubt. Like if you, if you were to rank brands on their current manufacturing capability, their movement prowess, and their history, you'd have to have JLC at the top of that list. Yeah, I think you're right. And you're looking at a really nicely sized, I'm very excited to see it in person. This is definitely my, you know, my, you know, my seen unseen sort of armchair SIHH favorite watch. Yeah. And, and this would be the exact sort of watch where if I was in a position where I wanted to Buy my way into a JLC. This would definitely be at the top of my list right now. I think it's just a Stunning thing. I've always loved the deep-sea chrono, but the price point is quite a bit higher. |
|Jason Heaton|Yeah Yeah, definitely the star of the show definitely the highlight for me I would say, you know, if we just kind of step back and and look at the ones we've talked about I think You know if I were to rank things I'd put the Polaris at the top. I did like the the Mont Blanc 1858 stuff. It's a cool piece, yeah. You know, and every brand kind of this year had something interesting, as is usually the case, but I think last year or the year before, I mean, other than the Master Control stuff from JLC, you know, a lot of it was just a bit ethereal for me, and I think this one just slots right in as just, you know, definitely in my wheelhouse and I know in your wheelhouse, and so.  Yeah, definitely best of show, I would say is the Polaris. |
|Unknown|And a few others that kind of stood out just for their awesomeness, not necessarily even being able to buy one, even if you had the money on the list, you've got the Recense Type 2 e-crown concept. What is that like in person? I love seeing Recense stuff in person. |
|Jason Heaton|So, you know, OK, Polaris, definitely my favorite watch of the show. Recense absolutely blew me away. It was the It was the innovation, it was the highlight, the thing that just made my jaw drop when I sat in on that appointment, it was Ressence. It's not even a watch that looks good on my wrist. The aesthetic is strange at best, you know. I mean, it's cool. I just find these guys, aside from watchmaking, just the most incredible innovators. And this watch, you know, aside from Ressence's normal out-of-the-box thinking, which involves taking an ETA 2824 movement and floating it in oil and using magnetic coupling to turn a series of discs to display the time. That's all well and good. That's all really cool and cutting-edge on its own. The e-crown concept, they've bumped it up entirely to a different level with putting a wafer of electromechanical functionality in this watch that In a nutshell, what this does is you can actually double tap on the crystal of the watch, and that tells the watch that you are now getting ready to register the correct time, which you can then either set using an app on your phone, electromechanically. Little motors will actually turn the mechanical portion of the watch to set the correct time. Or you can set it manually using that sort of pivoting I don't know if you can really call it a crown, but the setting gadget on the back to set it yourself. And then the watch will register the correct time. And then it will check that once a day against, you know, what it, uh, you know, what you told it was the correct time. And if there's been variants from the time you set it to that current time, when it's checking, it will actually automatically reset the hands to the correct time once a day.  Not only that, the watch has these little shutters, this little sort of arc of shutters on the dial that when the watch detects that the power reserve is getting low, those will flip open, the power reserve of the electromechanical portion, will flip open and it will solar charge the electrical part of the watch. Fantastic. And then there's also a kinetic winding function. So basically the kinetic winding function would keep that electromechanical portion topped off If you're wearing the watch, but if you set it off for the weekend or a few days and that runs low, those little shutters will open and allow sunlight or light to charge it. I mean, it's just. Wow. Yeah. I mean, wow. I mean, what do you say? I mean, it's just a stunning, just incredible innovation. |
|Unknown|What a cool thing. I mean, their stuff is always so special to see in person because it feels so foreign, but distinct at the same time. Like they have such a solid aesthetic.  And then to see, I mean, they came out of nowhere a few years ago. I know. And to see them just kind of swing for the fences with stuff like this e-crown concept. I just think it's really, it's special to see in person. And I know that like, it's a legitimate privilege just to be able to see and handle the rest and stuff. Right. Because it's not something that you can go to even a lot of big cities and see.  Yeah, but this is definitely like if I was just listing brands that like if you're ever at a really like wherever they're wherever they have a store or Carried if you have the opportunity make it part of your day To see a residence in person. They're really really fun Yeah, and and even if it's something where like it's more than you'd ever spend on a watch like it is for me Or it's not necessarily your personal aesthetic It's still really cool and really fun to see in person and to experience and to see the way that the light plays with the oil and in the way that, you know, the kind of two pieces of the case, the kind of aquarium like top structure meets with the back and the strap is integrated. All of it's just, it just feels, yeah, I don't know. It's hard to explain if you haven't had the chance to see one.  And it's, uh, it's something that I always like to see even just represented on video is fun. |
|Jason Heaton|Yeah. Yeah. And then, you know, the, the, the big one long is always a favorite, um, for sure. Entirely not anything in my, in my universe that, that I would probably be, be ever owning, but, uh, you know, this year's, this year's halo piece for them was the triple split, um, which is the world's first, uh, triple split, uh, well, split seconds, minutes and hours chronograph. Um, so, you know, people might remember that for several years they've, they've had a double split, which was the world's first split seconds and minutes chronograph. So, um, you have overlaid, uh, sweep hands for both the minute counter and the, and the seconds counter. And now, um, uh, on the, on the hour register as well, you have kind of that coaxial hour display and, um, you start and stop the chronograph as you normally would.  But there's a third button on the case on the left side that when you press it, it will, you know, stop that first set of sweep hands and register that event that the elapsed time for one event and the other hands will continue to move and continue to track the elapsed time for a second event up to 12 hours. And just, just, just fantastic. |
|Unknown|Yeah. |
|Jason Heaton|The typical, typical long, just outstanding. It's got, Kind of this beautiful gray dial with these kind of little touches of color on the power reserve. And, um, you know, it's thick, big, heavy giant watch. I mean, it's just a, it's a white gold case. And, um, I think it's 150 grand. It's just an absurd thing. |
|Unknown|Sure. Why not? |
|Jason Heaton|You know, you gotta, you know, that's, that's, it's what, it's like your, your Bugatti or your concept car or something, you know, you just, you have to see it, you have to laugh and, and just, uh, admire what these guys do. |
|Unknown| Well, sure. I mean, the turbo graph, the perpetual data graph, all those. Yeah. They do something like this every year, which is more of a like, hey, look, we can do it. Right. We did it. And otherwise, I think they're these kind of things that go to specific collectors and things like that. And I think it's just fun that they exist in the first place and that they kind of swing for the fences with something like that. I mean, it's the same sort of expression of what Ressence is doing, just the aesthetic couldn't be different. Yeah. Yeah. Yeah. Or sorry, the aesthetic couldn't be more different. |
|Unknown|Yeah, so true. |
|Unknown|And you know, long as fun to see from the most basic all the way up to the most extreme. Right. Like the way that they do dial balance and date and things like that is just, I mean, it's legendary. They make just stunningly beautiful watches and with the watches that they make that they intend people to actually wear all the time.  They're surprisingly wearable for precious metal watches. You know, they don't do stuff in steel and legibility is always very good. And they have kind of a defined aesthetic, especially with stuff like the Lange 1. Stunning, just really, really beautiful dress pieces. And it's always a fun meeting to be able to see their stuff. And especially because, again, like with a lot of this, it's just not stuff that you're going to come across at the Duty Free or Unless you go to New York City and you go to the right spot and maybe make a phone call beforehand so they know you're coming, so they can actually have something. And a lot of people don't get that opportunity. So it's hard to, you have to kind of keep that in perspective, just getting a chance to see it, whether it's at an SIHH or a Basel can be the treat on its own. |
|Jason Heaton|Yeah. I mean, the thing to remember about SIHH is other than the watches that we talked about, which are kind of more commercial pieces, the great majority of what you're seeing there It's essentially like walking through a big art gallery. I mean, we didn't talk about, you know, the majority of the watches there. I mean, you know, Grubel Forsey, we could go on for probably an entire show about. I mean, they do astounding stuff and Lange and Urwerk. Some amazing stuff from Piaget. It's really art, you know, and that's what you go to appreciate. And you don't have to pretend that you can even buy this watch to appreciate it. But, you know, one sort of little bookend on this is the You know, you remember every year in Lange's booth, when you walk in, there's this giant, I don't know how tall it is, you know, 20 foot tall watch, enlarged version of the Halo watch for the year in full, you know, full recreation of the actual watch in macro. And I found out this year that, you know, that replica, that giant replica is actually, it's actually metal.  make all the components. |
|Unknown|No way. |
|Jason Heaton|Out of, somebody said German silver, but then, but then it was corrected. I guess they make it out of aluminum. Okay. And then they actually coat it with German silver, like the bridges. Whoa. Can you imagine how heavy that thing is? Yeah. And the cost? |
|Unknown|Yeah. Yeah. So for, that's, that's incredible. So for anybody who doesn't know what we're talking about, anytime that anyone shows a photo of the booth at SIHH 4 Lange, there's always a giant watch in the front. And I would say like it is probably 15 feet in cross. Yeah, that's probably fair. And it's always whatever their big halo piece was. So it was a giant triple split this year. I had no idea that they essentially made the watch. Yeah, exactly. And it's got to be at what, 800% or something? Yeah, yeah. It's just ludicrous. |
|Jason Heaton|I mean, I think any other brand would just do it plastic, you know. Yeah, of course. Yeah, whatever, you know. |
|Unknown|But theirs is running and... Yeah.  Oh, man, I had no idea it was like and then and then to do the coding and goodness sakes. Yeah. |
|Unknown|Yeah. Yeah. |
|Unknown|What a brand. |
|Jason Heaton|Yeah. Well, maybe we put a put a bow on the SIHH talk. |
|Unknown|Yeah, I think so. I think you know, I think we're running nice and long here. We can go right into final notes if it works for you. Sure. |
|Jason Heaton|Yeah, let's do that. |
|Unknown|All right. Do you want to go first? |
|Jason Heaton|Yeah, sure. Well, this is sort of related to SIHH. This is something I just found yesterday. I think it was actually just released yesterday. The well known kind of adventure and commercial photographer, uh, Alex stroll, who's, you know, worked for a number of, you know, really prestigious clients. He's a great photographer, great Instagram feed, by the way, he was commissioned by JLC to do a, a photo shoot and kind of a little video project about the new Polaris. And he calls it the Polaris project. And in this video that we're going to link in the show notes, uh, it's on YouTube.  And basically what he did is he went to Iceland, and in a way it sort of reminded me of the Chris Burghardt film that you told us about last show. |
|Unknown|Under an Arctic Sky. |
|Jason Heaton|Under an Arctic Sky, because it's a lot of the same kind of elements. It's cold water surfing, they're driving through snowstorms and land rovers, and then they do a little bit of free diving at Silfra, which is that dive spot there that It's the deep split between the European and the North American tectonic plates. |
|Unknown|For sure. |
|Jason Heaton|And just some neat footage. Kind of neat to see the behind-the-scenes stuff. You know, it's pretty much, you know, like a graynado, you know, full-on graynado material with all the cool elements. You know, a dive watch and land rovers in Iceland and just some great footage. So, yeah, check it out. It's called The Polaris Project. It's kind of his behind-the-scenes video of of his work for, for JLC. |
|Unknown|Yeah. And he is a, like you mentioned an excellent, a must follow Instagram feed. I mean, he's got nearly 2 million followers, so I'm sure a lot of you already follow him, but if not Alex, S-T-R-O-H-L. And I'll put that in the show notes as well, but easy enough to find if you're already holding your phone. Yeah. So for mine is the first one is a book that I got for Christmas, which I'm sure a lot of you have already gotten. It's a man and his watch by Matt Horanek.  And I've been really loving it. I've been kind of savoring it, if you will, uh, just reading one or two of the stories at a time instead of just blasting through, uh, the full book. Uh, but, uh, Matt Horanek is, uh, oh man, he's a bit of a Renaissance man. He's a, he does a bunch of different stuff. And I had a really, uh, great opportunity last year at the Cartier dinner and I was seated next to him and we had a lovely conversation. Uh, he's a very charming guy, a very affable guy. And, uh, he put together this, uh, really beautiful book that kind of uses watches as the touchstone for people's experiences in life. So he interviews all sorts of interesting people about watches that stand out in their history. So it could be anything from, you know, he's got one of Paul Newman's kids, the watches that Newman had left for his kids to, you know, a watch owned by a famous chef and why it's important and all that kind of thing.  I think a lot of you have probably already heard about the book and my only suggestion is if you heard about it and you thought, well, that sounds interesting. It's better than interesting. I actually find it fairly charming and it's a nice thing to kind of sit down and read at the end of the day. The photos are beautiful. The watches are widely varied, which I like quite a bit. It's not all just old Rolexes. |
|Jason Heaton|Yeah. I think Adam Grady has a G-Shock in there, right? |
|Unknown|Yeah, for sure.  And, uh, and yeah, so there's a nice mix and Matt, I think did a great job and the book's like 30 bucks on Amazon. And it's this fairly sizable, like coffee table sort of book, nice thick book with again, beautiful photographs. And it's about watches. You should buy it. One of you listening could be the guy that does the next book like this, and we'll buy that one too. So go ahead and support it. I think what Matt did here was, was interesting. And it's the kind of thing that like you might read a magazine or read a site like Hodenke.  And they'll have a story like this once or twice a year, which connects a person's successes and history and personality and life with a watch, you know, a product, but then it's theirs because of it. And I think that's, that's kind of the cornerstone of what we like about watches. Yeah. And, uh, and so I, I highly, highly recommend a man and his watch. And actually you can listen to, um, an interview that Matt gave with the guys from Worn and Wound as well. I'll throw that in the show notes for their podcast. And he did a good job on that as well, which gives you a little bit more background on the book and kind of his story. |
|Jason Heaton|Yeah, that's cool. Yeah. I saw Matt a few times here and the book is great. And I know he's got some interesting plans for the future, which is all I'll say. But yeah, it's a cool concept and a great book. Yeah.  I've got one, you know, I'd like to give a little shout out to some guys that are doing, you know, something similarly eclectic to the Graynado. You know, if you think that, you know, talking about backpacks and technical clothing and diving and watches all on the same show is a weird kind of mix. Super Alpine is, it's like, it's mainly photography and it combines the elements of kind of alpine sports and beautiful mountain views with You know, high-end cars and automotive kind of ephemera. You know, if, uh, if you remember, uh, James's recommendation of a video a while back on, uh, what was it? The last pass, the Henry Ketchpole. |
|Unknown|Oh yeah. |
|Jason Heaton|One last pass. Yeah. Where he's driving in the mountains in like an Audi R8. Yeah. It's an R8 Spyder. |
|Unknown|And if I, if I've, man, I could try 10 times and I wouldn't be able to pronounce the name of that road. Hawken-yach. That's as close as I'm going to get. Definitely can't spell it. |
|Jason Heaton|Super Alpine is kind of a, visual manifestation of that video, kind of that element of driving beautiful cars in a mountain environment and kind of that European Alpine vibe that you get in a lot of these mountain towns and these passes and these beautiful old hotels and peaks and ski lifts and that sort of thing. Anyway, to make a long story short, Super Alpine has now moved from their kind of Tumblr and Instagram environment They're launching a print magazine called Super Alpine and they're doing it via Kickstarter. So they're trying to raise funds to print the first issue of the magazine and it sounds like they're having a little bit of a hard time getting the word out to raise money for this. I think an issue of the magazine, I think you pony up $12 or $15 and you get the first issue and that's what they're looking for. So we'll put a link to the Kickstarter page and go check it out.  I think it promises to be good, you know, if it's going to be anything like the, the stuff they put up on Instagram, you know, just, just beautiful photography of some great cars and some neat environments. |
|Unknown|So yeah, check it out. Yeah. The campaign looks really promising and I've, I've enjoyed a bunch of their work so far. So I think it's a pretty much a no brainer, especially at that kind of cost. So yeah. Yeah. My last one is another from Will Gadd and I've definitely had a previous Gadd's truth post. It's from explore-mag.com.  And Will Gadd writes these pieces called Gadd's Truth. It's kind of like a column where he kind of takes a look at an aspect of kind of the outdoor lifestyle or the kind of performance sport lifestyle and digs in. And this one's called Gadd's Truth, We're All Crazy. And it's kind of about his personal relationship with risk. And it's a nice read. It's not super long. It's not something I'm not going to give away what, you know, what he kind of comes to.  I just think that more people should be reading posts like this. I think it's an interesting look at how you you meter the way that you respond to others taking certain risks and the way you take risks and I really like Will's writing and I really enjoy these posts. So I'll throw that in the show notes or you swing by explore-mag.com and check out Gad's Truth. It's a series read them all. They're great. |
|Jason Heaton| Yeah, well, cool. Well, I think that wraps it up. It's your bedtime and it's time for me to go get some breakfast. |
|Unknown|Find some good coffee, maybe. |
|Jason Heaton|Yeah, I've got a last free day here in Geneva. I think I might go and maybe check out the Patek Museum if I've got the time. |
|Unknown|Sounds good. |
|Jason Heaton|Yeah, maybe grab a last beer and a bad coffee somewhere here and then pack up to go home. Super. Yeah, as always, thanks so much for listening.  Hit the show notes for more details. And please do follow us on Instagram. I'm at Jason Heaton. James is at J.E. Stacey. And follow the show, if you're not already, at The Graynado. If you have any questions for us, please write thegraynado at gmail.com. And please subscribe and review wherever you find your podcasts. Music throughout the show is Siesta by Jazzar via the Free Music Archive. |
|Unknown|And we'll leave you with this quote from the marvelous Orson Welles, who said, I have always been more interested in experiment than in accomplishment. |
