
# The Grey Nato - Ep 77 - Face To Face At The Bremont Townhouse 2019
Published on Thu, 28 Mar 2019 06:00:19 -0400



## Synopsis
This episode is a recording from the Bremont Townhouse event in New York City. Jason Heaton and James Stacey discuss the new watch releases from Bremont, including the Armed Forces range with a broadsword field watch, arrow chronograph, and argonaut diver. They also cover updates to the Supermarine 300 and 2000 dive watches, a new edition of the MB3 watch celebrating Bremont's 10th anniversary with Martin Baker, and tweaks to the women's Solo line. They share their overall impressions of Bremont as a brand and specific models they're interested in.

The hosts also discuss some of Bremont's ambassadors like adventurer Nirmal Purja who is attempting to summit all 14 peaks over 8,000 meters in less than 8 months. For final notes, James recommends the film "Arctic" with Mads Mikkelsen playing a pilot stranded in the Arctic, while Jason suggests following the "Strange Planet" comic on Instagram for its clever commentary on human behavior through an alien lens.

## Links
- [episode page](https://thegreynato.substack.com/p/the-grey-nato-77-face-to-face-at)
- [episode MP3](https://www.buzzsprout.com/2049759/11311043-the-grey-nato-ep-77-face-to-face-at-the-bremont-townhouse-2019.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|James Stacey|Sure. Yeah. So mine is, it's a movie.  Lately, you might have noticed a theme with me and my final notes and my interests. We've had a proper winter in Minneapolis. I've been in kind of this polar Arctic exploration mode for the past three months. And I promise this is my last one, at least till next winter. The movie Arctic, so maybe you've seen previews. It's a feature film. It's in theaters right now. It's actually really only one actor in the movie.  And his name is Mads Mikkelsen. You might remember him from Casino Royale. He played Le Chiffre, the bad guy. Yeah. |
|Jason Heaton|Great actor. He's excellent. I think he played a better Hannibal than Anthony Hopkins in the show from a few years back, Bryan Singer's show. |
|James Stacey|I really enjoy his work. And in this one, it's a very different character for him, but he plays a pilot of a downed aircraft somewhere in the Arctic. |
|Unknown|Oh, wow. |
|James Stacey|Maybe Northern Canada, Alaska, Greenland, wherever. Doesn't say. The movie kind of just drops you in the scene where he has been stranded in the Arctic and he's living out of this shell of a plane. Um, and then it's all about his survival as well as a disastrous rescue effort and, and, and the results of that and then how he attempts to get to safety. And I'm not going to, you know, I don't want to give any spoilers, but it was beautifully shot. Um, I think a movie like this has to be very, very difficult to act and direct and everything because it's, it's literally one guy. There is another character in it, but there's not a speaking role.  And he's, um, you know, it's all a lot of closeups. It's a lot of activity. It's a lot of, he's not a Superman. He doesn't know everything, but he, he knows just enough and he's savvy enough and makes the right effort to kind of keep himself alive. And it's, it's just interesting to watch, you know, a couple episodes ago on a final note, I give this story and outside about, you know, what, what happens when you freeze to death. We've talked about, you know, other polar explorations and things like this. And this one is just sort of along those lines, but in a fictionalized version, really, really, um, Well done. It kind of reminded me a little bit of that Robert Redford movie where he was sailing and he was lost at sea. Alone at sea. Yeah. But I think this was better. I mean, I really enjoyed it and beautifully shot. |
|Jason Heaton|Robert Redford is great. Let's not take anything away from Redford. No, of course. But Mads Mikkelsen is one of the best actors working today. Yeah, yeah. |
|James Stacey|He's incredible. So, you know, this is, it's not an obscure film. It's probably still in theaters as you're listening to this or by now maybe on iTunes or Netflix or something, but check it out. Arctic|
|Jason Heaton| Very cool. I'm glad to have something to watch. Certainly, getting used to Toronto means I'm inside a little bit more than I would be. And it's cold. Yeah, that's what I mean. It's chilly. I'm inside a little bit more. Yeah, so Arctic sounds great. So my final notes this week is an Instagram account that is at nearly 640,000 followers. So I'm sure some of you have already got it, but it's become the one that I actually will go and check So like when I get up, instead of scrolling until I find it, I go to the search page and look for it. And it's Nathan W. Pyle, strange planet. My guess is if you type Nathan, N-A-T-H-A-N-W, you'll hit it. It's a little pink avatar with a blue alien, like kind of cartoon alien. And these are these incredible single, like, you know, they're in a square for Instagram comic, a simple kind of comic strip.  And it's about aliens deconstructing these weird elements of humanity. So, you know, they're marveling over a cat and how it lives in this huge apartment, but wants to play only in a box. And then the final frame it's zoomed out of the apartment where the people are in the box. It's that sort of thing. Sure. Some of these are a little bit hard to explain, but they joke, they joke about like the absurdity of daily context as a human by removing the part that's human. Yeah. So you read it as, you read it without the context and you have to kind of put together what they're talking about. Yeah. I think it's insanely clever. It's super fun. It's definitely my favorite thing on Instagram currently. So I highly recommend Nathan W. Pyle Strange Planet, the Instagram account. Give it a follow. It's, uh, yeah, they're hilarious. |
|James Stacey|I'm going to follow that. I like when Instagram is used in unique ways rather than just, you know, like we all do posting your activities, your travels, your watches, whatever. Um, but it actually is a really good vehicle for, uh, for comic or for sort of, I don't know what you'd call this, but you know, visual,|
|Jason Heaton| Storytelling comic strip like it's the same way you used to have that be part of your daily routine with a newspaper you go read your haggard the horrible you're Whatever it is you're Calvin I think it's really cool. I'm entirely on board They're super super funny, and I'm hoping that I'm hoping that this is a whole world on Instagram And this guy's just the most famous and I'll start getting recommendations of other kind of comic shows because I you know a die-hard Calvin and Hobbes fan huge yeah What's the Gary Larson one? The Farside. The Farside, thank you. I'm a huge fan of the Farside growing up and that kind of thing. So to have kind of a new one that has it, it's obviously they all have their own aesthetic, this has its own aesthetic, but it's an entirely a frame of mind that like as soon as you see the image, you start thinking outside of the like with the conceit. I love it. They're super funny. Yeah, cool.  Okay, I guess that just about does it for the Bremont townhouse episode for 2019. As always, thanks so much for listening and a big thanks for Hodinkee for supporting the show. You can hit the show notes via hodinkee.com or the feed for more details. You can follow us on Instagram at jasonheaton and at jestacy or you can follow the show at TheGreyNado. If you have any questions for us, please write TheGreyNado at gmail.com or just drop a comment on the post at hodinkee.com.  Please subscribe and review wherever you find your podcasts. And don't forget that the music throat is siesta by Jazza via the free music archive. |
|James Stacey|And we leave you with this quote from Winston Churchill, who said success consists of going from failure to failure without loss of enthusiasm. |
