
# The Grey NATO – 185 – The TGN Auction For Ukraine And The Latest From Bremont
Published on Thu, 17 Mar 2022 06:59:07 -0400



## Synopsis
This episode of The Grey NATO podcast covers a variety of topics related to travel, diving, driving gear, and watches. They discuss the upcoming TGN auction to benefit humanitarian efforts in Ukraine with items donated by brands and listeners. They talk about the excitement of the Endurance shipwreck being discovered and the history behind it. The hosts also review new watch releases from Bremont including the Williams racing chronograph, jet black series watches, and limited edition tributes. Final notes cover recommendations for stories about "backyard adventuring" and the art of falconry.

## Links
- [episode page](https://thegreynato.substack.com/p/185ukraine)
- [episode MP3](https://www.buzzsprout.com/2049759/11310933-the-grey-nato-185-the-tgn-auction-for-ukraine-and-the-latest-from-bremont.mp3)
- [episode webpage snapshot](episode.html)
- [episode MP3 - local mirror](episode.mp3)

## Transcript    
|*Speaker*||
|James Stacey|Yeah. So it's like the, the chrono is, is essentially the same as the other, just like you said, in a different color way with the black case. And then the FW44 is the Airco based one. So it's 40 millimeters.  And I think they both look really good. It's an interesting idea, like maybe one's for the racetrack, one's for dinner after, like the kind of duality of it, I'm not sure. But I do think it makes sense. And I think this is the one where, you know, like I said, the previous one that we were looking at with the steel case, you know, the standard brush steel case has sort of a generalist appeal. I think this kit is for the, you know, Williams, you know, diehards. This is some fan work for sure. It's very cool.  The black case with the bright white dial, I think works really well, especially with the... And the ceramic bezel insert, and then the sort of bluey, tuxedo-y dial with the suede strap on the FW44. I think they both look really good. Yeah, I agree. They're cool. Yeah. Next up, we've got... So a new series of Jet. So Jet is what they've called in the past, they're kind of, again, watches with a blacked out treatment, the black case and such. And now we have an Airco Jet, which I think is gorgeous.  the S502, so, you know, big dive watch and an S500 Chrono all in the Jet series. Which one of these kind of speaks to you, Jason? |
|Jason Heaton|I'm a big fan. I love the S502. I think this is kind of a throwback to, you know, that first S500 kind of evolved, you know, and to see with that all black, I'm not usually an all black watch kind of guy, but for some reason on this big, like, Braymont dive watch. It just looks so good. And then the pop of color from the, from the GMT hand, that's the one for me, the, the supermarine chronograph. I wanted the supermarine chronograph for years, but I'm, I'm still not totally on board with, with this version of it. Um, I think it does look better in black cause it shrinks it a little bit, but the S five Oh two is the one for me. I think it's, it's just killer. How about you? |
|James Stacey|Yeah. I mean, obviously I'm a sucker. I ponied up for the three Oh two.  So it's probably the 502, but the chronograph, especially in the video, they've got, you know, they've got a loom layer in the, you know, the, the bezel insert is also fully loomed and it just looks very cool. You know, the black, white, gold, I don't, I don't really like gold accents on stuff typically, but this does look good. It looks nice and subtle. Again, a big watch for me, it's absolutely this Airco Mach 1 Jet.  This is the sort of one where I would absolutely... If I needed another Bremont, if I didn't have the 302, which I absolutely adore, this would be on my radar. This is a great looking watch, sort of in the same head space as a ceramized IWC, in my mind. It's a nice use of a black case and dial, but then there's no faux lume here, like faux tan coloring, it's white.  on top. A little bit of red accent at the end of the minute and seconds hand and a few spots around the re-ut. And I just think this makes sense. It comes on a really nice looking strap that I think will fit the 302 and I may need to buy. It's this green sort of canvas style strap. I like these. I like this a lot. I enjoyed this watch as a steel version, especially the Mach 1 where it's a little bit more sporty classic.  And yeah, I think all three work really well, but for me and my wrist size and my general taste, it would be this Mach 1 for sure. |
|Jason Heaton|Yeah. And you know, I've always seen the Airco as their kind of smaller, little bit less rugged feeling watch. And this one kind of inches more towards rugged. I mean, just the addition of a black case ticks it up and immediately pricks my interest a little bit more than than even the standard Airco. The size, it's a very elegant watch, but this renders it more sporty, especially on that strap. So that's a real winner. I do like that one. |
|James Stacey|And that one's going for about $4,000. So right in the vein of where they normally start. I think the brand starts around $3,600, $3,700. So if you're eyeing a Bremont and you'd like something with, again, everyday wearability, but kind of a different, a little bit oddball, I think this is one to keep on your radar.  Yeah. It's a good looking watch for sure. So that the jet series is quite a bit bigger now. I mean, famously they've had the U2 kind of the slash five, one jet, the alt one P two jet. And then I don't think they ever called the alt one B a jet necessarily. |
|Unknown|Oh yeah. How about the, uh, the supermarine descent too? |
|James Stacey|So I remember back in the day they did the S the special edition supermarine descent. |
|Unknown|Yeah. |
|James Stacey| you know, it was a blacked out case, a black dial and then like mint green accents. Yeah. And that was on, on the, the gen one aesthetic for the, the supermarine S 500. Right. And, and then now they've, they've kind of updated it this time. It's a GMT. So it's called the descent two. It's, um, it's a buy kind of a buy metal, a two color option. Again, you still have the lollipop hand date at three, a big sort of, oversized markers for a lot of loom. And then you've got the GMT hand in there as well. And the color way for the GMT hand is this sort of pale sort of sky blue. Um, and then they've got that on the strap as well. I don't love, uh, uh, you know, two-tone watches, but I mean, this isn't an ineffective design in any way. It's a cool big GMT. I think, I think I'd still lean towards the new 500 GMT. Yeah. |
|Jason Heaton|Yeah. Yeah. This one is, It's a very handsome watch. It's not to my specific taste. I, there's a few things I I'm, I'm with you. The, the, the bi-metal thing, you know, I, I, for a while I was trying out the Oris, uh, diver 65 chronograph that had some bronze in the, in the bezel. Um, Oh yeah. Yeah. And you know, it's a handsome look. It's just, it's not something I want to look at every day. And then on this Bremont, the, the Arabic numerals don't, I, I'm not loving that as much, but the things I do like about it are titanium case. Fantastic. I love that idea on a big watch like this. Um, and then that, that light blue is, is a real master stroke. And I love that strap. I mean, I'd love, I'd love to put that strap. I don't think it would quite work as effectively as it does on this watch. Like on my, uh, S 2000, I just think that that light blue is just so sharp. I have a kind of a ribbed NATO. That's that color.  And, uh, and I think this, this strap is great. And of course they make a great rubber strap. So I think it's a handsome watch. I it's just, it's not my personal taste. |
|James Stacey|I think it's a smart addition to the S 500 lineup because they didn't, you know, they didn't have something that looks like this and now, and now they do. And it's the GMT. I think this, this absolutely helps to round out the lineup. I just think I maybe I'm more used to the core or it's my two-tone thing. The titanium is really cool.  And it is neat that this is the follow-up to what was previously the brand's first limited edition. Oh, yeah. As far as dive watches go, the original Descent. And the original Descent was a colorway for the most part, which I think is how you can kind of see this in terms of how it sits in the lineup. So it certainly makes sense to me. It would be one I'd like to see in person and maybe the kind of goldy accents would kind of hit me the same way they do on some of the great tunas.  where I kind of almost like it with some gold. Right. |
|Unknown|Yeah. |
|James Stacey|Right. It can work. Right. Right. And it's, it's tough to look at a render and go like, Oh, absolutely. |
|Jason Heaton|Yeah. |
|James Stacey|Yeah. |
|Jason Heaton|So, well, I mean, you know, to stay in the bronze theme, the next one we can talk about is the bronze Argonaut. Um, and the Argonaut, you know, I've, I've been on record of the, of the armed forces collection is my least favorite. I think, I think you're a fan. I'm, I'm not as much of a fan of the Argonaut, uh, as, as most people, I guess, And then I'm, I'm, I'm a bit over bronze now, I guess. So this one was a bit of a miss for me. Um, but you know, again, I mean, I, I might be in the minority on that. I know bronze is hot and people love a good two crown, uh, dive watch. |
|James Stacey|I think that the standard Argonaut is actually like a, a pretty kind of sneaky, cool watch. If you've, if it suits your wrist, it sits a little high. It's not that it's necessarily thick. It's a 42 millimeter, you know, with the stainless. Um, and I reviewed one a while back for a hood Inky. So I'll throw that in the, in the show notes, of course.  I think that the update they did a little later, the Azure blue one with the orange minute hand was pretty rad. It had a bit of that Cousteau IWC vibe. It was like, you know, you could get it on an orange rubber. The funny thing is, is the only problem in my mind that the Argonaut has, and this is in my mind also works with the bronze one, is that the Supermarine exists. Yeah, true. So you could, you could have the, the full fat 500 meter Supermarine at 43 millimeters.  but it doesn't wear like a 43 millimeter watch. It really does sit down low on your wrist. And with the rubber strap, I never found it to feel crazy big. And then of course, in my mind, the one to have is, is from the 300 series at 40 millimeters, very wearable kind of everyday casual, but very capable 300 meter dive watch. And I think that the Argonaut kind of sits between the two as, as kind of like a fun alternative. And with that in mind, the bronze makes sense to me.  I wouldn't, the bronze wouldn't be what I would buy. Um, I have yet to really fall in love with a bronze watch. |
|Unknown|Yeah. |
|James Stacey|Yeah. They kind of, they're fun for a couple of days or, or when you've got them. Um, but I, I always end up going back to a steel watch. It's not that different than most black watches. I just, I like a steel watch. I think that's, that's maybe what my zone is, but I, I think these make sense. The blue and the bronze is a great combo with the orange accents on the Ria and the matching Uh, so yeah, I could see these being certainly popular and I could also see them looking pretty good with some tarnish. |
|Jason Heaton|Yeah. And, and I, I think that I was just noticing on the, on one of the crowns, they have kind of the cross hatch, which I, to me, isn't quite as, um, on the nose as some of the other kind of super compressor adjacent watches that are trying to emulate the original super compressors. To me, I see like bronze or, you know, copper dive helmet, uh, window plate, you know, like with the, the cage that goes across the front. |
|James Stacey|Oh, yeah. Which works. |
|Jason Heaton|Which works with the bronze. I think that's kind of a cool nod. And I think for a dive watch, bronze is a good nod to kind of the maritime uses of that metal, that alloy. |
|James Stacey|Absolutely. And that rounds it out for dive watches. It's nice to see them do a bunch in the dive watch space, right? And I think I see a lot of this as, and disagree with me if you do, Jason, but a lot of this feels like line extensions to me.  You know, the, um, aside from the Williams racing Chrono and then the Chrono that's in the box set where they are kind of doing something that's its own new model. Yeah. Otherwise we're looking at jet versions of mostly watches that already were around. Uh, Supermarine Descent 2 is of course a new watch, but it's within the Supermarine family and the rest of it. And then I think the same with the bronze Argonauts are it's these, they're kind of filling out the lines, which I think makes a lot of sense. |
|Jason Heaton|It does. I think they're showing maturity as a brand. I think, you know, for so many years it was, new this, new that. Oh, it's a new family. It's the Airco family now. And it's the Armed Forces Collection. And at some point you have to kind of have to settle. And I don't mean settle as in like, you know, get complacent. I mean, settle as in sort of just get comfortable in their space and to kind of just offer different versions of existing watches shows, I guess, a certain maturity of the brand itself. |
|James Stacey|Yeah. And we're hoping to have the chance to have some folks on from Bremont, you know, later in the year, maybe even get out to the wing and see that.  Yeah. When, when it makes sense to do so. And my question then would be like, how much of this is, is literally coming from retailers who are like, this is what our customers are asking for. They want more black watches. They want, they want a two-tone Supermarine. They want, you know, more stuff in, in the Brown space. Like I, I do wonder how they decide because this is so many watches. I mean, they could, they could have just launched the Williams racing set and the jet a five Oh two. And I think that that would have been, that would have been enough for them. But I think this shows that maybe they're under more pressure to expand the line from actual retailers. And that's just, I'm reading, I'm making up a few sentences and then reading between those lines. I don't have any grounding for this. I'm just trying to, you know, trying to understand the headspace. And then they do, there is one final LE that we haven't talked about, and that's an LE based on the Arrow chronograph called the Dambusters limited edition. And I think this is, I mean, the backstory to the Dambusters is fascinating.  So even if all you learn from reading about this watch is the historic raid of the Dam Busters. So if you look back, basically the watch is a special anniversary edition for the 80th anniversary of the Lancaster Bombers who did this Dam Busters raid. So they're going to make 232 watches and it's dedicated to the 617 Squadron and done in partnership with the Ministry of Defense like a lot of these, the HMAF sort of stuff is. |
|Jason Heaton| Yeah. This is, this is a sharp watch. I have the standard arrow. Um, and I love a good mono pusher chronograph. I think, uh, this edition with the, the kind of the, the faux aged loom, the different hands and the Arabic numerals, I think it, it works. I mean, I think it's, uh, it's going to be popular for, for chronograph lovers that, that kind of want that vintage kind of, you know, world war two type, Uh, chronograph. And I think Bramont just sits so comfortably in that space. You know, they've, they've obviously got a really strong footing in aviation watches, uh, and then their own kind of background doing limited editions, uh, with regard to, to world war two planes, you know, Spitfires and Mustangs and things like that. And, and this one's cool. It's almost $5,000. It's 49 95. And, uh, it does come with, with a pair of cufflinks that were, um, made with aluminum from the original airframe of one of the Lancasters, which is, you know, cool. I'm not a cufflink guy. I don't really wear French cuff shirts, but you know, Hey, if you are, and I mean, can you imagine, you know, piecing those two together, what kind of a story you could tell at a fancy dinner? |
|James Stacey|I mean, it's pretty fun. So 232 piece limited edition is a nod to the speed at which the planes had to fly 232 miles an hour. And according, at least to the copy from Braymont, it's been a while since I read about Dan busters, but they had to fly at 60 feet.  to bounce the bomb at exactly 500 RPM when it was dropped. Crazy. And then it would slam into the dam. Wow. Um, so this is definitely something to look back on and a point of pride. And of course the Lancaster is like an all time great plane. I, you know, as a kid, I, I growing up near the Canadian war plane heritage museum, uh, they have one of the only flying Lancasters in the world. Um, I believe there's two, maybe three, there might be a third now.  So that was always something to see. It was quite an event to have one go over at an air show. They used to do an air show every summer, or they do an air show every summer. And it was always exciting to see Lancaster, to do a tour and walk through it. I'd always planned on possibly one day doing one of the, they'll take you on flights. I don't know if, I genuinely don't know if they still do this, but up until a couple of years ago, they did. It's quite expensive, but you can go for a little flight around, you know, just above in the skies over Caledonia, Ontario. Yeah. But that'd be, it's super exciting and that sort of thing. And this is a, this is a neat sort of tribute and to have the cuff links made from the, the metal from the space frame is an interesting thing because that's of course something that they've done as their sort of big L E's every now and then. And once a year, maybe a little bit less than once a year, they've been doing these ones where the watch incorporated a piece of this. And I think this is an interesting evolution where it makes the watch a little bit less precious, like a little bit more of something I could see someone buying and just wearing all the time, rather than like some deep collector's thing that only a certain group, even within Braymont's audience, truly understands. And then to have these cufflinks, which yeah, most people might use cufflinks a couple of times a year, a few times a year, some people way more often. And I think no matter how often you use them, it's just kind of a cool little footnote, especially if you're wearing the watch at the same time, like you said. Yeah. |
|Unknown|Yeah. |
|James Stacey| Yeah. A neat thing and a neat sort of evolution of their using a piece of the history in the watch formula. |
|Jason Heaton|Yeah. I think that wraps up the new releases from them. And I think it was, it's a pretty tight kind of release this year, but a strong one. And like you said, it's very much a line extension, but a strong showing. I think the jet stuff, you know, goes a long way towards, you know, what you can do with a simple kind of color change and a few tweaks. Absolutely. Do you have a favorite? S502.  Yeah. I'd wear that 502 all the time. |
|Unknown|It's such a cool watch. |
|James Stacey|Yeah. And I think for me, it'd be that Airco Jet. Oh yeah. I think if they'd said, um, previously, like if, if it had just been a little thing I got on WhatsApp or whatever, like, Oh, we're, you know, extending the Jet series. I would go like, Oh, well, okay. Yeah. Yeah. And then to actually see, hopefully get them, see them in person sometime soon, but to see them come out and, and you know, we'll, like I said, we'll link the video, the presentation video. Yeah. Um, they do such a good job with that. Yeah. It's well produced and it's conversational and they have an attitude that's so different than the, I've had to do a ton of these and I have to do a ton in the next two weeks, these digital presentations in advance of watches and wonders. And most of them are like plagued with tech tech issues. Even the prerecorded ones, like they don't start or the audio is out of saying, or, or the, you know, the chat on the right is out of sync with what's happening in the video and the rest of it. And the Bremont ones just kind of like work and they have a tone that is not at all like a PR company or the heads of a company sitting down with their with their watches to tell you about them. It's just, they just do their own thing. It's super casual, but the execution level is really high. So I'd say good on, good on Brahma. The 2022 stuff looks pretty solid. I'd be interested absolutely to see a few of these in person, especially that Williams racing Chrono, probably a little big for my taste, but I don't think, I think it's just a nice refinement of a few different things that they do really well into one watch and, and to do the, the, you know, car brand collaboration, or in this case, a racing team collaboration Um, without having the dial say Williams and the strap say Williams and all of it just shows like it's, it's a nicely sort of reserved take on it. |
|Jason Heaton|Yeah, I agree. And, and good timing to the, the, the new season formula one season starts, I believe this weekend and we'll see how Williams does. I mean, the past few years have been pretty hard on them, but, uh, you know, hopes brings eternal. |
|James Stacey|So if this, if there's a year that some, that anyone listening wants to get into formula one, I think this is a great year to do it. Yeah. It's a bit of a blank slate for a lot of the teams. There's been some, obviously some driver shuffles and the rest of it.  And if you're not sure, and you want an interesting way of recapping last year, the fourth season of Drive to Survive just recently launched on Netflix. I'm two or three episodes in at this point. Oh, yeah. I like to watch an episode in the evenings. And it's become a real reality show. It's about these dramas and tensions and the rest of it. But I do think it gives you a very specific look at what it is to run one of these teams and how much pressure are on the drivers.  And it communicates a human side that like seeing a clip of an incredible pass or a big crash doesn't. Right. Right. So I, yeah, we've talked about drive to survive in the past. It's been a final note selections and the rest, but the fourth season so far is really good. And, uh, and I think this coming season of formula one is going to be really exciting. I'm planning for the first time to like buy a subscription to, I guess, TSN in Canada so I can watch it. Um, and, uh, I know at least one of my brothers is doing the same, so it might become like the first a sporting event that I actually follow and, uh, and kind of absorb on, on television. So I think it's going to be, uh, an exciting season and obviously huge, huge, uh, you know, props to, uh, Williams. I hope that they have a very successful season. They've got a couple of great drivers. If they can get the car to be competitive, then I think it's anyone's game this year for sure. Yeah. |
|Jason Heaton|Yeah. And then one last kind of coda, uh, on Braymont, um, I caught, I subscribed to the, the, watch pros newsletter, um, that comes out daily. And there was a big long interview with Nick English, which is worth checking out as well. But, um, as kind of a little side note to that, there was a link to Peter speak Marin, who's, you know, such a respected British watchmaker who had his own brand, uh, which he then sold to a different company, which, and it still kept his name, but he now does the naked watchmaker website, which dissects and kind of analyzes different movements from all brands, you know, high, high end, low end, everything in between. And he did a dissection of, of Braymont's new proprietary movement, the ENG 300 that they worked on with, with the Swiss movement maker THE. And I think this was something that would be of great interest to people that have followed Braymont's trajectory and have been interested in kind of their move to making movements in England. And, and he, he does it in a very clinical, very objective way. And he's such a, a, skilled and respected watchmaker that I think if you have any questions about the ENG 300, it's kind of a good way to kind of see what his take on it is and how it's all built in the wing. So check it out. We'll put a link in the show notes. |
|James Stacey|Yeah, it's a big, it's a deep dive. Yeah. It's very impressive stuff for sure. That's a great site to cover just to watch in general. Yeah. I just learned a lot about movements that like it's kind of opaque from an industry standpoint.  Right. And it seems like he's just operating from the love of movement design in many cases and taking them apart and understanding why they work and how and the rest of it. Yeah. So pretty good stuff for sure. |
|Unknown|Yeah. All right. How about some final notes? Yeah, let's do it. Go ahead. Why don't you take it? |
|James Stacey|Oh, I'll go first. Okay, let's see. Mine is a recommendation via Matt. Matt sent us an email about a story published to a website called Beside and it's called The Unlikely Art of Backyard Adventuring.  And so many of you listening will know this guy, Beau Miles. He's an extreme athlete and a successful YouTuber and a writer. I think he'd be an incredible guest. If any of you know Beau, maybe, you know, drop him a DM. Let him know. We'd love to have him on. But he recently wrote a book called The Backyard Adventure, which is described as an ode to the life-affirming wonders of calloused hands and sore feet. And basically the story covers his kind of start in the world of extreme extreme many things. There's all sorts of stuff. But one day while kayaking in a very dangerous locale, I don't want to give anything away because it's a nice story. It's well written. And I think you actually kind of want to dig into it. But he witnessed something that really made him question his connection to how much he's connected adventure with being in unsafe places, operating in relatively unsafe ways, the risk, the cost, the distance from home.  And so he kind of developed this idea of like, um, uh, making adventures much more minimal in terms of the expertise that's required in terms of the, um, distance and the travel and such. And, and the end result is, uh, is, and he's done a bunch of these for his YouTube, which you should absolutely subscribe to. Uh, it's a fantastic one, but, uh, it's, it's a great story. He's got on a sweet Seiko. I highly recommend it. |
|Jason Heaton|Huh.  That's cool. I haven't heard of him, um, but it sounds very TGN. I think we've talked about kind of the concept of a micro adventure or adventures for kind of everyday people. And I think that's, uh, that's definitely in our wheelhouse. So I, I look forward to checking that out. |
|James Stacey|Yeah. And like some of it, some of it's stuff that he does with his son and I'm just what anyone could go for other one. Like he did a video, a really beautifully produced video. I watched it just before we started recording where he lives on his block, as he describes it in his thing. It's kind of a rural UK setting. His block is a mile. So what he did was he did a marathon in 26 pieces. So it's 24 hours of marathon. And then between each mile, he would do a task at home, like something he had been meaning to do. And I guess this spawned other people doing the same thing.  It's super fun. I highly recommend his YouTube and this story. I'll put everything we talked about in the show notes. I think if you dig what Jason and I do, but you'd like to see somebody who are spending more of their time actually doing stuff and less thinking and learning about watches, I think Beau Miles is a really good thing to add to your content scope. |
|Jason Heaton|Nice one. Yeah. Well, I've got an interesting one that I stumbled upon because I subscribed to Patagonia on YouTube and they always put up such a great videos. And then a number of listeners and followers on Instagram, uh, also recommended it as well. So I, they, they, Patagonia does these, these wonderful short films oftentimes on their YouTube channel. And this one comes from them. It's called game Hawker. And it's, it's such a, an interesting topic. It's about a guy who's a Falconer, uh, you know, and that, that always has struck me as such a medieval, old fashioned. Yeah. Occupation if you call it or, or avocation, uh, you know, people that are devoted to, to working with raptors, you know, hawks, falcons, eagles, owls, I suppose. And in this case there's a twist to it because this is, uh, this is a guy who's, he's African American. I believe he's based in somewhere out West. I can't remember. I think it's like, you know, Wyoming or Colorado or something. And, and he's, uh, he's become this respected figure in this, you know, very arcane niche field of falconry and he's traveled around the world. He's spoken at different events. He meets up with people in, I think there, he was in Poland or Hungary or something. And, and you know, they have these get togethers and they, he travels with the birds and, um, and the way that he trains them in his house and kind of his story of how he got there is, it was just fascinating to me. And it's another one of these, stories where you get a glimpse into somebody who's doing something that is so different from anything I'm exposed, I've been exposed to or interested in. And yet you see this, the depth of commitment and knowledge and skill. And it just makes me shake my head. And I think, you know, what else is out there? I, uh, you know, falconry is, is just fascinating. I love Raptors anyway. I love to watch them and read about them and just watch them in slow motion and see photos of them. I think they're just the most amazing creatures.  Uh, and then to actually kind of work with them, these, these big, you know, extremely honed predators, you know, sitting on your arm and then, and then flying and catching something and bringing it back and, and whatever, it's just a beautifully done. Uh, and, and you know, who knew that Yvon Chouinard used to be involved with falconry? I mean, he appears briefly in this video. I mean, is there anything this guy hasn't done? What a wonderful dude. Um, so he's in it as well, but Sean Hayes is the, is the, subject of this great video. |
|James Stacey|So check it out, GameHawker. GameHawker and the unlikely art of backyard adventuring. Find it all in the show notes. I think that's a show, Jason. |
|Unknown|I think so too. |
|Jason Heaton|As always, thanks to everyone for listening. If you want to subscribe to the show notes, get into the comments for each episode, and we encourage you to do so. Or if you want to, maybe you're considering supporting the show directly. And if you do, you can possibly even grab a new TGN signed NATO. Please visit TheGreyNATO.com.  Music throughout the show is Siesta by JazzArr via the Free Music Archive. |
|James Stacey|And we leave you with this quote from Henry David Thoreau, who said, Not until we are lost do we begin to understand ourselves. |
